type,index,value
LL,0,-8.5418572967028
LL,1,-8.536951003154256
LL,2,-8.53224583664379
LL,3,-8.527859956204907
LL,4,-8.524065320014593
LL,5,-8.520534214252288
LL,6,-8.517442207225166
LL,7,-8.514832445851827
LL,8,-8.512693965857661
LL,9,-8.510813075473303
LL,10,-8.509284966757386
LL,11,-8.508023364322405
LL,12,-8.507254344751818
LL,13,-8.50677236256453
LL,14,-8.506574277896606
LL,15,-8.50694099620016
LL,16,-8.507759732069777
LL,17,-8.508813106759451
LL,18,-8.510085787375157
LL,19,-8.511923233389712
LL,20,-8.513907292369886
LL,21,-8.516318696989575
LL,22,-8.518828411584943
LL,23,-8.521835324158726
LL,24,-8.524937524483379
LL,25,-8.528622695124591
LL,26,-8.532466015400427
LL,27,-8.536414935982062
LL,28,-8.540678639602936
LL,29,-8.545523172171313
LL,30,-8.55034738938536
LL,31,-8.555540060845194
LL,32,-8.560934173261511
LL,33,-8.566624509857647
LL,34,-8.572657091577167
LL,35,-8.578877222300719
LL,36,-8.58556311627756
LL,37,-8.592365479170258
LL,38,-8.599182659083207
LL,39,-8.606540792464862
LL,40,-8.614029035765398
LL,41,-8.621552560385787
LL,42,-8.629567056022008
LL,43,-8.63740625131407
LL,44,-8.645700309357856
LL,45,-8.654193148662815
LL,46,-8.663098320658204
LL,47,-8.671889378288332
LL,48,-8.680846625568327
LL,49,-8.690105282857205
MSE,0,0.6402505334334837
MSE,1,0.6295725538307138
MSE,2,0.6109320444757587
MSE,3,0.6592642365427461
MSE,4,0.8356118032830837
MSE,5,0.606438406514457
MSE,6,0.924555888296097
MSE,7,0.8571685604651442
MSE,8,0.7784381093097208
MSE,9,0.758790156236746
