type,index,value
LL,0,-3.79165721542729
LL,1,-3.7895081042306074
LL,2,-3.7873398603305377
LL,3,-3.78524573726927
LL,4,-3.783637716161517
LL,5,-3.7821472460977583
LL,6,-3.7803469424000333
LL,7,-3.7786487218906366
LL,8,-3.77708467184999
LL,9,-3.7757267673554105
LL,10,-3.7744392013899732
LL,11,-3.773062026087645
LL,12,-3.771761002628667
LL,13,-3.7705976876927507
LL,14,-3.769413873113097
LL,15,-3.7684032187559624
LL,16,-3.767305679035399
LL,17,-3.766387603817307
LL,18,-3.7655445465961455
LL,19,-3.764701749573695
LL,20,-3.763714341186868
LL,21,-3.762834375475004
LL,22,-3.7622164936084515
LL,23,-3.761483346690148
LL,24,-3.7609017891941137
LL,25,-3.7604625886422705
LL,26,-3.7596453177737152
LL,27,-3.7589491571275486
LL,28,-3.758410516565518
LL,29,-3.758127188955784
LL,30,-3.7575941826738437
LL,31,-3.7570286106231685
LL,32,-3.7565881535622196
LL,33,-3.756655131958484
LL,34,-3.756268202963124
LL,35,-3.755884007749343
LL,36,-3.7554192190136377
LL,37,-3.7551603053930167
LL,38,-3.7548071883995426
LL,39,-3.7546134790107084
LL,40,-3.7542477830446854
LL,41,-3.753907665369785
LL,42,-3.7537036569248405
LL,43,-3.753658636453615
LL,44,-3.7535148308238115
LL,45,-3.7533008859566066
LL,46,-3.7530574124204334
LL,47,-3.7529199947094307
LL,48,-3.752808146754641
LL,49,-3.7524949084436385
MSE,0,0.13926125314270932
MSE,1,0.0910893728327856
MSE,2,0.15345335967931387
MSE,3,0.37009487289627785
MSE,4,0.24682900595864107
MSE,5,0.18771301375507177
MSE,6,0.19811232118131236
MSE,7,0.17557745641790434
MSE,8,0.1491050047311466
MSE,9,0.23471358113840257
