type,index,value
LL,0,-4.263525630575835
LL,1,-4.2594206146233455
LL,2,-4.255680094735934
LL,3,-4.2522950537444535
LL,4,-4.24905414169518
LL,5,-4.245723716031998
LL,6,-4.243000662099429
LL,7,-4.240181761909976
LL,8,-4.23738179961166
LL,9,-4.23516336606096
LL,10,-4.232845446888284
LL,11,-4.231108625500514
LL,12,-4.229515982611773
LL,13,-4.227838967015533
LL,14,-4.226260396959013
LL,15,-4.225257284975941
LL,16,-4.224124725825808
LL,17,-4.222700541478939
LL,18,-4.221775557084542
LL,19,-4.22133409285294
LL,20,-4.220262015733189
LL,21,-4.219814422475122
LL,22,-4.22001880452612
LL,23,-4.219658241027794
LL,24,-4.219198860741463
LL,25,-4.219539684061941
LL,26,-4.21966787527413
LL,27,-4.220252018188171
LL,28,-4.220579433638164
LL,29,-4.221231523704525
LL,30,-4.222454155061478
LL,31,-4.224004213932984
LL,32,-4.224683262118949
LL,33,-4.226061680980336
LL,34,-4.2275101347812925
LL,35,-4.229635632414082
LL,36,-4.230911165812174
LL,37,-4.232427673012216
LL,38,-4.234424381453541
LL,39,-4.236069553155543
LL,40,-4.238248703440939
LL,41,-4.2401030812046505
LL,42,-4.242372909174724
LL,43,-4.244750616893773
LL,44,-4.246928305351716
LL,45,-4.249607362658133
LL,46,-4.252789479255943
LL,47,-4.25490671486937
LL,48,-4.257596383987655
LL,49,-4.261037572024372
MSE,0,0.2905086796189645
MSE,1,0.6203627174559136
MSE,2,0.3907263753339901
MSE,3,0.3474330771929104
MSE,4,0.44981426283134535
MSE,5,0.6135233716055204
MSE,6,0.6677937782914163
MSE,7,0.6141589444810358
MSE,8,0.3584718172348745
MSE,9,0.6984436750759947
