type,index,value
LL,0,-32.7210111567389
LL,1,-32.508597918902574
LL,2,-32.29288301595017
LL,3,-32.091292626801774
LL,4,-31.887607032471994
LL,5,-31.673185745097197
LL,6,-31.464001805902676
LL,7,-31.25271100890954
LL,8,-31.05287084015024
LL,9,-30.844445807813507
LL,10,-30.635926415479325
LL,11,-30.44156596569659
LL,12,-30.24667840417198
LL,13,-30.050007377052403
LL,14,-29.834439929773755
LL,15,-29.619556334639583
LL,16,-29.40249320378127
LL,17,-29.21185709473314
LL,18,-29.016631828424686
LL,19,-28.799702363996488
LL,20,-28.627180558856953
LL,21,-28.437783714155493
LL,22,-28.251281883026888
LL,23,-28.060149298446674
LL,24,-27.84460316377176
LL,25,-27.655388405883752
LL,26,-27.49442700666185
LL,27,-27.308190890835494
LL,28,-27.135583330945423
LL,29,-26.94531976181397
LL,30,-26.7752165496722
LL,31,-26.591248074212967
LL,32,-26.416813744788335
LL,33,-26.23692436321675
LL,34,-26.05474431551024
LL,35,-25.907243653076772
LL,36,-25.725544588505596
LL,37,-25.543772573503464
LL,38,-25.398515328915675
LL,39,-25.24201262796909
LL,40,-25.058837448280492
LL,41,-24.890283431490438
LL,42,-24.71207837516543
LL,43,-24.553075085811056
LL,44,-24.39583753075243
LL,45,-24.241347392039646
LL,46,-24.093672598979705
LL,47,-23.944999862000966
LL,48,-23.814228456575087
LL,49,-23.657706775348284
MSE,0,1.1037762809429836
MSE,1,1.1495055019780838
MSE,2,1.6000579497883447
MSE,3,1.3508300255765244
MSE,4,1.1360494596722857
MSE,5,0.9699339856206922
MSE,6,1.1949707298786476
MSE,7,1.0470678840043532
MSE,8,1.273457648956053
MSE,9,1.4482995559471028
