type,index,value
LL,0,-8.60574199075138
LL,1,-8.599219370230164
LL,2,-8.59327737687802
LL,3,-8.587646315357143
LL,4,-8.582374641400007
LL,5,-8.577552898397231
LL,6,-8.573439122078266
LL,7,-8.569416857237705
LL,8,-8.56593610069508
LL,9,-8.562682069494304
LL,10,-8.55992879432365
LL,11,-8.557811933311758
LL,12,-8.555842429440187
LL,13,-8.554409007594066
LL,14,-8.552865835536506
LL,15,-8.551881097028277
LL,16,-8.551473527852146
LL,17,-8.551304892811407
LL,18,-8.55132151294106
LL,19,-8.55180997156245
LL,20,-8.552388262846502
LL,21,-8.553524396285663
LL,22,-8.554939590312362
LL,23,-8.556619608150346
LL,24,-8.558613985401616
LL,25,-8.560929022351882
LL,26,-8.563606526946185
LL,27,-8.566592296197213
LL,28,-8.569690696391149
LL,29,-8.573065010417086
LL,30,-8.576851367559543
LL,31,-8.580833333184705
LL,32,-8.585061127076838
LL,33,-8.589502466526856
LL,34,-8.593927949013226
LL,35,-8.599061918209273
LL,36,-8.604313913820167
LL,37,-8.609842427230292
LL,38,-8.61571118020324
LL,39,-8.62143052734944
LL,40,-8.627690009540306
LL,41,-8.633972978487444
LL,42,-8.640594504365158
LL,43,-8.647432191666557
LL,44,-8.654320857760212
LL,45,-8.661379957064517
LL,46,-8.668893189212465
LL,47,-8.676418610560775
LL,48,-8.684287916704202
LL,49,-8.692123245778209
MSE,0,0.832001005434437
MSE,1,0.8209698203528953
MSE,2,0.8450060286456765
MSE,3,0.8103366632335943
MSE,4,0.7974733568756528
MSE,5,0.6183240459449261
MSE,6,0.7343849114887769
MSE,7,0.5747942404108589
MSE,8,0.6607117196157956
MSE,9,0.7271293958637814
