type,index,value
LL,0,-17.887336215156527
LL,1,-17.836629922921315
LL,2,-17.78698568114745
LL,3,-17.73825887047579
LL,4,-17.69059103502091
LL,5,-17.643629824013505
LL,6,-17.598609833006364
LL,7,-17.554647219523613
LL,8,-17.51274606379331
LL,9,-17.470865715640414
LL,10,-17.430488502911277
LL,11,-17.391388686644213
LL,12,-17.35315291996634
LL,13,-17.31485163640173
LL,14,-17.278319931463958
LL,15,-17.242578235203982
LL,16,-17.20622640716147
LL,17,-17.172139174167683
LL,18,-17.13959080697983
LL,19,-17.10804792064206
LL,20,-17.07788626457877
LL,21,-17.04780741217769
LL,22,-17.017773657090554
LL,23,-16.98857181847084
LL,24,-16.959860546787322
LL,25,-16.933600464334408
LL,26,-16.906527453769694
LL,27,-16.880737975680766
LL,28,-16.854610893634266
LL,29,-16.829212337944597
LL,30,-16.80621563811021
LL,31,-16.781686364978633
LL,32,-16.75884618911774
LL,33,-16.73703126272914
LL,34,-16.71508778090051
LL,35,-16.69584354213324
LL,36,-16.675918871397727
LL,37,-16.656494428880027
LL,38,-16.636289446898118
LL,39,-16.61856548078279
LL,40,-16.600307453344094
LL,41,-16.581791488273396
LL,42,-16.564658380374627
LL,43,-16.54845751522971
LL,44,-16.53276449934126
LL,45,-16.516862834709734
LL,46,-16.501017406924262
LL,47,-16.485590033296507
LL,48,-16.471898990327325
LL,49,-16.457361725819375
MSE,0,0.9689197698584207
MSE,1,0.9226835733480807
MSE,2,0.7476071055471413
MSE,3,0.8353708446783866
MSE,4,0.7526144659359196
MSE,5,0.7835801062989204
MSE,6,0.770259045676145
MSE,7,0.851173907408146
MSE,8,0.8156741967882013
MSE,9,0.9264909881781271
