type,index,value
LL,0,-4.089120946198024
LL,1,-4.085161834181152
LL,2,-4.08118930472711
LL,3,-4.0772617720598054
LL,4,-4.073681510104407
LL,5,-4.070122199111902
LL,6,-4.066848464844609
LL,7,-4.063439138699452
LL,8,-4.060347258170817
LL,9,-4.057474943790269
LL,10,-4.054528741920256
LL,11,-4.051866460978124
LL,12,-4.049141680891274
LL,13,-4.046548172561673
LL,14,-4.044241895221659
LL,15,-4.041730243903959
LL,16,-4.039163814373262
LL,17,-4.037026685335514
LL,18,-4.034629131523366
LL,19,-4.032548594630205
LL,20,-4.0308935611315615
LL,21,-4.029328868177663
LL,22,-4.027705992076281
LL,23,-4.026176365279227
LL,24,-4.024591082560892
LL,25,-4.022866571241859
LL,26,-4.021064438534939
LL,27,-4.019513437354195
LL,28,-4.018364041644615
LL,29,-4.016987805260259
LL,30,-4.0159382661965255
LL,31,-4.014759879649653
LL,32,-4.013199292226323
LL,33,-4.01194096046016
LL,34,-4.0107921976365635
LL,35,-4.0097280062236385
LL,36,-4.008787034247073
LL,37,-4.007664338818054
LL,38,-4.0066527906915095
LL,39,-4.005726874304008
LL,40,-4.004825565677033
LL,41,-4.004004082234564
LL,42,-4.00346082203937
LL,43,-4.002755835239729
LL,44,-4.00223397680346
LL,45,-4.001493067745331
LL,46,-4.001002035688731
LL,47,-4.00046910197001
LL,48,-3.9999780353509324
LL,49,-3.999483040960815
MSE,0,0.28116157786535917
MSE,1,0.2952683675746676
MSE,2,0.26328385432111784
MSE,3,0.4235687722580958
MSE,4,0.3949615710286712
MSE,5,0.1318428029648765
MSE,6,0.36058846936130656
MSE,7,0.20621686768102357
MSE,8,0.18091230766088498
MSE,9,0.15458027268164917
