type,index,value
LL,0,-10.550161187331419
LL,1,-10.460697870491288
LL,2,-10.370136106532845
LL,3,-10.278772168992734
LL,4,-10.194276793925454
LL,5,-10.109830396502185
LL,6,-10.025699606865558
LL,7,-9.941893033439712
LL,8,-9.858350634778105
LL,9,-9.782015975408633
LL,10,-9.704911950818383
LL,11,-9.625703479846546
LL,12,-9.5511663379838
LL,13,-9.47718552188749
LL,14,-9.406690275477049
LL,15,-9.332870958978884
LL,16,-9.263947013451077
LL,17,-9.195503441923709
LL,18,-9.128512399148054
LL,19,-9.061008318019319
LL,20,-8.994685591100993
LL,21,-8.929112299890466
LL,22,-8.868184687129169
LL,23,-8.80302095707985
LL,24,-8.741941052875475
LL,25,-8.680326835891433
LL,26,-8.619142972354194
LL,27,-8.561771727246004
LL,28,-8.504918940543009
LL,29,-8.446549128249476
LL,30,-8.393191829604431
LL,31,-8.337882904704475
LL,32,-8.283051222866836
LL,33,-8.233180283962913
LL,34,-8.18057490185224
LL,35,-8.128893117880448
LL,36,-8.081466542123668
LL,37,-8.031987111362778
LL,38,-7.984079166863677
LL,39,-7.938317417268647
LL,40,-7.893369816956101
LL,41,-7.846989000413816
LL,42,-7.803950850512978
LL,43,-7.760814472606512
LL,44,-7.716058830384652
LL,45,-7.672248856996788
LL,46,-7.628530096357172
LL,47,-7.588322483174606
LL,48,-7.550812005428092
LL,49,-7.511595948814707
MSE,0,0.6397393558826924
MSE,1,0.6280954359352261
MSE,2,0.6451251629286605
MSE,3,0.7534862477597221
MSE,4,0.5273641022472062
MSE,5,0.9051704230106828
MSE,6,0.8977975091590261
MSE,7,0.5151013979807596
MSE,8,0.39572374962844864
MSE,9,0.7315480075188003
