,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
952,8,10,271.49006748199463,0.0005,3,10,0.0,50,central,-15.35740469070779,0.259465632263154,
953,8,10,271.49006748199463,0.0005,3,10,0.0,50,local,-16.24035344082947,0.795444962846642,0.7563303540776941
954,8,10,271.49006748199463,0.0005,3,10,0.0,50,fl,-16.242770452351742,0.7951636027133058,0.7564326676848113
956,0,10,260.1519408226013,0.0005,3,10,0.0,25,central,-15.394836644969658,0.36034779961734503,
957,0,10,260.1519408226013,0.0005,3,10,0.0,25,local,-17.460208512998985,1.0407199316883928,0.9790375921500075
958,0,10,260.1519408226013,0.0005,3,10,0.0,25,fl,-17.478533927757326,1.045549739587106,0.9840227223095459
968,0,10,1299.6829357147217,0.0005,3,10,1.0,10,central,-15.523039115126403,0.4687817510218639,
969,0,10,1299.6829357147217,0.0005,3,10,1.0,10,local,-59.388074588925505,1.7589092403425735,1.7000897305656206
970,0,10,1299.6829357147217,0.0005,3,10,1.0,10,fl,-17.078397485671026,1.1792853469198332,1.0918216956879627
980,6,10,811.345780134201,0.0005,3,10,1.0,100,central,-15.309777027291599,0.16621184720071128,
981,6,10,811.345780134201,0.0005,3,10,1.0,100,local,-15.67091779113411,0.550085382126275,0.524699511269811
982,6,10,811.345780134201,0.0005,3,10,1.0,100,fl,-15.458417147653284,0.3892288962517578,0.3514305972560882
1008,1,10,1326.7462227344513,0.0005,3,10,0.5,25,central,-15.359802484034049,0.3122228761368205,
1009,1,10,1326.7462227344513,0.0005,3,10,0.5,25,local,-17.408533565459113,1.1091519337551696,1.0653302639593236
1010,1,10,1326.7462227344513,0.0005,3,10,0.5,25,fl,-16.263615692526393,0.8915893085420491,0.837335807134737
1012,9,10,1444.502519607544,0.0005,3,10,0.5,50,central,-15.354439719573227,0.24230075166206766,
1013,9,10,1444.502519607544,0.0005,3,10,0.5,50,local,-16.13004870125812,0.7677865261980427,0.727780630519659
1014,9,10,1444.502519607544,0.0005,3,10,0.5,50,fl,-15.757098518511185,0.622849108375215,0.5732104879860735
1016,1,10,788.3388636112213,0.0005,3,10,1.0,25,central,-15.359802484034052,0.31222287613682015,
1017,1,10,788.3388636112213,0.0005,3,10,1.0,25,local,-17.408533565459127,1.1091519337551696,1.0653302639593236
1018,1,10,788.3388636112213,0.0005,3,10,1.0,25,fl,-15.92903046202492,0.7587451260388688,0.6943482071496767
1020,9,10,1483.9626924991608,0.0005,3,10,1.0,50,central,-15.354439719573227,0.24230075166206766,
1021,9,10,1483.9626924991608,0.0005,3,10,1.0,50,local,-16.13004870125812,0.7677865261980427,0.727780630519659
1022,9,10,1483.9626924991608,0.0005,3,10,1.0,50,fl,-15.623150387604586,0.5378741473301489,0.4786253876118575
1040,1,10,278.5587110519409,0.0005,3,10,0.0,10,central,-15.530279730549811,0.5060418705914244,
1041,1,10,278.5587110519409,0.0005,3,10,0.0,10,local,-47.06702567237771,1.7343177789263264,1.6569827433688444
1042,1,10,278.5587110519409,0.0005,3,10,0.0,10,fl,-46.90673061266621,1.7318327011287884,1.6544848052158994
1048,4,10,284.3519446849823,0.0005,3,10,0.0,50,central,-15.310362729433672,0.1977704690954976,
1049,4,10,284.3519446849823,0.0005,3,10,0.0,50,local,-15.958876642756607,0.7222226923436716,0.6948717216650795
1050,4,10,284.3519446849823,0.0005,3,10,0.0,50,fl,-15.962352856645882,0.7210477223981947,0.6935299753070061
1056,6,10,1377.9579632282257,0.0005,3,10,0.5,100,central,-15.309777027291602,0.16621184720071133,
1057,6,10,1377.9579632282257,0.0005,3,10,0.5,100,local,-15.67091779113412,0.5500853821262752,0.5246995112698114
1058,6,10,1377.9579632282257,0.0005,3,10,0.5,100,fl,-15.518897582104492,0.44635222669837143,0.41448401523388034
1072,0,10,1329.263923406601,0.0005,3,10,0.5,10,central,-15.523039115126403,0.4687817510218639,
1073,0,10,1329.263923406601,0.0005,3,10,0.5,10,local,-59.388074588925505,1.7589092403425735,1.7000897305656206
1074,0,10,1329.263923406601,0.0005,3,10,0.5,10,fl,-18.581119734176763,1.3994239775737678,1.325546272222494
1084,7,10,272.8102958202362,0.0005,3,10,0.0,100,central,-15.275112022959854,0.1601360846403863,
1085,7,10,272.8102958202362,0.0005,3,10,0.0,100,local,-15.570259749822815,0.4778779766879081,0.4511912766795332
1086,7,10,272.8102958202362,0.0005,3,10,0.0,100,fl,-15.57057589452979,0.47807786105708316,0.45172614098433284
1100,5,10,953.7487699985504,0.0005,3,10,0.5,50,central,-15.34782453814051,0.2047170234650566,
1101,5,10,953.7487699985504,0.0005,3,10,0.5,50,local,-16.06559801781585,0.7636683064709495,0.7386321934927317
1102,5,10,953.7487699985504,0.0005,3,10,0.5,50,fl,-15.728260668572142,0.6137508304305915,0.5802941212016471
1112,6,10,826.3926169872284,0.0005,3,10,0.5,25,central,-15.398944220061818,0.30917566301866534,
1113,6,10,826.3926169872284,0.0005,3,10,0.5,25,local,-17.58912858320139,1.0975643722791883,1.0502508344253512
1114,6,10,826.3926169872284,0.0005,3,10,0.5,25,fl,-16.335221551269775,0.8821692059654355,0.8228399806618283
1132,1,10,790.2057023048401,0.0005,3,10,1.0,100,central,-15.313675958226506,0.13254349256465223,
1133,1,10,790.2057023048401,0.0005,3,10,1.0,100,local,-15.676260275477663,0.517474100246878,0.5006179234995334
1134,1,10,790.2057023048401,0.0005,3,10,1.0,100,fl,-15.467153041333864,0.360921971416467,0.3339553654035325
1136,7,10,1487.0667839050293,0.0005,3,10,1.0,10,central,-15.492303526979882,0.4517351004595136,
1137,7,10,1487.0667839050293,0.0005,3,10,1.0,10,local,-41.2906744818052,1.664845518260795,1.6076209406622488
1138,7,10,1487.0667839050293,0.0005,3,10,1.0,10,fl,-17.09842165147915,1.1127517536283953,1.030431177749929
1152,7,10,233.06875872612,0.0005,3,10,0.0,25,central,-15.435314651403317,0.3400974520557976,
1153,7,10,233.06875872612,0.0005,3,10,0.0,25,local,-17.463476104594125,0.9991710354833042,0.93765172968792
1154,7,10,233.06875872612,0.0005,3,10,0.0,25,fl,-17.481068187494554,1.0004163894773792,0.9397326735545674
1168,2,10,1654.5298421382904,0.0005,3,10,1.0,50,central,-15.376770892836305,0.2306018870926111,
1169,2,10,1654.5298421382904,0.0005,3,10,1.0,50,local,-16.141486477598313,0.7632165406548721,0.7323450510651457
1170,2,10,1654.5298421382904,0.0005,3,10,1.0,50,fl,-15.6538865813731,0.5273037644582439,0.4797947219005511
1196,2,10,1577.2364423274994,0.0005,3,10,0.5,50,central,-15.376770892836305,0.2306018870926111,
1197,2,10,1577.2364423274994,0.0005,3,10,0.5,50,local,-16.141486477598313,0.7632165406548721,0.7323450510651457
1198,2,10,1577.2364423274994,0.0005,3,10,0.5,50,fl,-15.787791000305432,0.6166037120266757,0.5770337210045907
1204,0,10,270.08471059799194,0.0005,3,10,0.0,100,central,-15.322381753105887,0.19660791895009314,
1205,0,10,270.08471059799194,0.0005,3,10,0.0,100,local,-15.66097760290213,0.5473780871207965,0.5163550232852552
1206,0,10,270.08471059799194,0.0005,3,10,0.0,100,fl,-15.66212282192565,0.5474858093369946,0.5164931784430369
1220,7,10,1350.6481266021729,0.0005,3,10,0.5,10,central,-15.492303526979882,0.4517351004595136,
1221,7,10,1350.6481266021729,0.0005,3,10,0.5,10,local,-41.2906744818052,1.664845518260795,1.6076209406622488
1222,7,10,1350.6481266021729,0.0005,3,10,0.5,10,fl,-18.544271500048485,1.3228040207829044,1.2532759211279791
1228,1,10,1374.9607615470886,0.0005,3,10,0.5,100,central,-15.313675958226536,0.13254349256465123,
1229,1,10,1374.9607615470886,0.0005,3,10,0.5,100,local,-15.676260275477663,0.5174741002468783,0.5006179234995337
1230,1,10,1374.9607615470886,0.0005,3,10,0.5,100,fl,-15.523028326928204,0.41678057350878095,0.39507834664558394
1236,3,10,273.2737784385681,0.0005,3,10,0.0,50,central,-15.30330442140794,0.21066451970522612,
1237,3,10,273.2737784385681,0.0005,3,10,0.0,50,local,-16.009954317956808,0.7146804455768538,0.6838025414117547
1238,3,10,273.2737784385681,0.0005,3,10,0.0,50,fl,-16.013079172266153,0.714824156509514,0.6838045406786226
1248,6,10,271.9416193962097,0.0005,3,10,0.0,10,central,-15.659334772423104,0.5796521093673906,
1249,6,10,271.9416193962097,0.0005,3,10,0.0,10,local,-72.05333094379839,1.7365502180997585,1.6281054477316814
1250,6,10,271.9416193962097,0.0005,3,10,0.0,10,fl,-72.17121183336074,1.7344086764104198,1.6252284740495935
1260,6,10,842.5386528968811,0.0005,3,10,1.0,25,central,-15.398944220061818,0.30917566301866534,
1261,6,10,842.5386528968811,0.0005,3,10,1.0,25,local,-17.58912858320139,1.0975643722791883,1.0502508344253512
1262,6,10,842.5386528968811,0.0005,3,10,1.0,25,fl,-15.981516240543778,0.75251432183152,0.6822321354631496
1272,7,10,1212.7150111198425,0.0005,3,10,1.0,25,central,-15.435314651403317,0.3400974520557976,
1273,7,10,1212.7150111198425,0.0005,3,10,1.0,25,local,-17.463476104594125,0.9991710354833042,0.93765172968792
1274,7,10,1212.7150111198425,0.0005,3,10,1.0,25,fl,-15.997170126108454,0.6978750041369675,0.6120107365674123
1288,7,10,266.48092675209045,0.0005,3,10,0.0,10,central,-15.492303526979882,0.4517351004595136,
1289,7,10,266.48092675209045,0.0005,3,10,0.0,10,local,-41.2906744818052,1.664845518260795,1.6076209406622488
1290,7,10,266.48092675209045,0.0005,3,10,0.0,10,fl,-41.24761773448522,1.6625465535919104,1.6060937371522304
1296,2,10,181.51474833488464,0.0005,3,10,0.0,50,central,-15.37677089283631,0.23060188709261054,
1297,2,10,181.51474833488464,0.0005,3,10,0.0,50,local,-16.141486477598313,0.7632165406548721,0.7323450510651457
1298,2,10,181.51474833488464,0.0005,3,10,0.0,50,fl,-16.145990170953915,0.7648121742700726,0.7338904541124867
1312,0,10,1409.96834897995,0.0005,3,10,0.5,100,central,-15.322381753105887,0.19660791895009314,
1313,0,10,1409.96834897995,0.0005,3,10,0.5,100,local,-15.66097760290213,0.5473780871207965,0.5163550232852552
1314,0,10,1409.96834897995,0.0005,3,10,0.5,100,fl,-15.518807007985163,0.44401297335098,0.40606491611087375
1328,6,10,1244.9301631450653,0.0005,3,10,0.5,10,central,-15.659334772423104,0.5796521093673906,
1329,6,10,1244.9301631450653,0.0005,3,10,0.5,10,local,-72.05333094379839,1.7365502180997585,1.6281054477316814
1330,6,10,1244.9301631450653,0.0005,3,10,0.5,10,fl,-19.27155346915067,1.4043932089139737,1.2670518911383628
1340,1,10,281.8424677848816,0.0005,3,10,0.0,100,central,-15.313675958226536,0.13254349256465123,
1341,1,10,281.8424677848816,0.0005,3,10,0.0,100,local,-15.676260275477663,0.5174741002468783,0.5006179234995337
1342,1,10,281.8424677848816,0.0005,3,10,0.0,100,fl,-15.675849812009474,0.5183350542663592,0.5016087937555482
1356,3,10,838.4790091514587,0.0005,3,10,0.5,50,central,-15.303304421407939,0.21066451970522668,
1357,3,10,838.4790091514587,0.0005,3,10,0.5,50,local,-16.009954317956804,0.7146804455768537,0.6838025414117544
1358,3,10,838.4790091514587,0.0005,3,10,0.5,50,fl,-15.6952508238435,0.5797617663683796,0.5415684338115854
1360,3,10,1534.4375534057617,0.0005,3,10,1.0,50,central,-15.30330442140794,0.21066451970522612,
1361,3,10,1534.4375534057617,0.0005,3,10,1.0,50,local,-16.009954317956808,0.7146804455768538,0.6838025414117547
1362,3,10,1534.4375534057617,0.0005,3,10,1.0,50,fl,-15.572167556344155,0.5000166965467479,0.4559732463912397
1384,6,10,268.59818387031555,0.0005,3,10,0.0,25,central,-15.398944220061832,0.30917566301866534,
1385,6,10,268.59818387031555,0.0005,3,10,0.0,25,local,-17.589128583201415,1.0975643722791883,1.0502508344253514
1386,6,10,268.59818387031555,0.0005,3,10,0.0,25,fl,-17.595466382232615,1.0983619022060138,1.0506127308859878
1396,6,10,1398.8238244056702,0.0005,3,10,1.0,10,central,-15.659334772423104,0.5796521093673906,
1397,6,10,1398.8238244056702,0.0005,3,10,1.0,10,local,-72.05333094379839,1.7365502180997585,1.6281054477316814
1398,6,10,1398.8238244056702,0.0005,3,10,1.0,10,fl,-17.69693463863323,1.2097754651174317,1.0467019292788133
1412,0,10,1480.5880720615387,0.0005,3,10,1.0,100,central,-15.322381753105887,0.19660791895009314,
1413,0,10,1480.5880720615387,0.0005,3,10,1.0,100,local,-15.66097760290213,0.5473780871207965,0.5163550232852552
1414,0,10,1480.5880720615387,0.0005,3,10,1.0,100,fl,-15.462787361656485,0.3846044951614218,0.3426988072611586
1436,7,10,1301.9217507839203,0.0005,3,10,0.5,25,central,-15.435314651403317,0.3400974520557976,
1437,7,10,1301.9217507839203,0.0005,3,10,0.5,25,local,-17.463476104594125,0.9991710354833042,0.93765172968792
1438,7,10,1301.9217507839203,0.0005,3,10,0.5,25,fl,-16.327241100857606,0.8109564398791553,0.7370234115434025
