,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
70,3,10,1137.8091099262238,0.0005,3,10,1.0,100,fl,-15.429898348679853,0.3887591332909951,0.3491668724963827
92,4,10,1143.7848019599915,0.0005,3,10,0.5,25,central,-15.398139433964474,0.373122797306963,
93,4,10,1143.7848019599915,0.0005,3,10,0.5,25,local,-17.600890417632264,1.083813332092382,1.015921492627062
94,4,10,1143.7848019599915,0.0005,3,10,0.5,25,fl,-16.36520809455346,0.8841625761322975,0.8000980297606842
112,4,10,1206.7239441871643,0.0005,3,10,1.0,25,central,-15.398139433964474,0.373122797306963,
113,4,10,1206.7239441871643,0.0005,3,10,1.0,25,local,-17.600890417632264,1.083813332092382,1.015921492627062
114,4,10,1206.7239441871643,0.0005,3,10,1.0,25,fl,-16.016030482456564,0.7673743386316678,0.6683983551230089
128,4,10,259.8907070159912,0.0005,3,10,0.0,10,central,-15.558748446416846,0.4210978732176576,
129,4,10,259.8907070159912,0.0005,3,10,0.0,10,local,-72.898639294382,1.6046168227877515,1.5493201363562252
130,4,10,259.8907070159912,0.0005,3,10,0.0,10,fl,-73.2657510379594,1.6044825660750885,1.5499369800612168
136,9,10,156.44993710517883,0.0005,3,10,0.0,25,central,-15.402218162831181,0.2764426020291229,
137,9,10,156.44993710517883,0.0005,3,10,0.0,25,local,-17.60156237489279,1.1109386264359213,1.0822506258980333
138,9,10,156.44993710517883,0.0005,3,10,0.0,25,fl,-17.607627092188586,1.1111947158855984,1.0825612032443679
140,1,10,157.81937098503113,0.0005,3,10,0.0,50,central,-15.310681104646042,0.21574681054714054,
141,1,10,157.81937098503113,0.0005,3,10,0.0,50,local,-16.064078597100327,0.8077694584772903,0.7750757083966427
142,1,10,157.81937098503113,0.0005,3,10,0.0,50,fl,-16.069559095107792,0.8072013517293286,0.774707397968277
148,3,10,1169.762041091919,0.0005,3,10,0.5,100,central,-15.286939226692045,0.17245881072235195,
149,3,10,1169.762041091919,0.0005,3,10,0.5,100,local,-15.628563994773355,0.5421677554974277,0.5170672493348017
150,3,10,1169.762041091919,0.0005,3,10,0.5,100,fl,-15.485207391641206,0.44249615266167963,0.4092453911015574
156,9,10,1295.4055824279785,0.0005,3,10,1.0,10,central,-15.635660134904148,0.4800018836378653,
157,9,10,1295.4055824279785,0.0005,3,10,1.0,10,local,-49.05197600513047,1.7110335397344891,1.635218863258806
158,9,10,1295.4055824279785,0.0005,3,10,1.0,10,fl,-17.268614235792292,1.165707114447773,1.0550947292964314
164,5,10,1395.274355173111,0.0005,3,10,0.5,10,central,-15.674454647783529,0.6661322748630489,
165,5,10,1395.274355173111,0.0005,3,10,0.5,10,local,-52.19459160245317,1.7128970007153455,1.5786353089577214
166,5,10,1395.274355173111,0.0005,3,10,0.5,10,fl,-19.165861087867135,1.4059274475977832,1.23701352351192
180,2,10,262.6345703601837,0.0005,3,10,0.0,100,central,-15.329479771864206,0.17256665521484704,
181,2,10,262.6345703601837,0.0005,3,10,0.0,100,local,-15.597594439208521,0.5203135330454964,0.4977116194775724
182,2,10,262.6345703601837,0.0005,3,10,0.0,100,fl,-15.598313164352229,0.5176901723319214,0.4960436953011742
196,0,10,892.5407898426056,0.0005,3,10,0.5,50,central,-15.329813612129652,0.20884786279053233,
197,0,10,892.5407898426056,0.0005,3,10,0.5,50,local,-16.187366530232655,0.7165309002708568,0.6897590564465977
198,0,10,892.5407898426056,0.0005,3,10,0.5,50,fl,-15.790768560076055,0.5785624906152256,0.544263154066054
200,8,10,1407.1087851524353,0.0005,3,10,0.5,25,central,-15.42148569409245,0.28460230669295966,
201,8,10,1407.1087851524353,0.0005,3,10,0.5,25,local,-17.776160738763828,1.0884653417409116,1.0543674086828776
202,8,10,1407.1087851524353,0.0005,3,10,0.5,25,fl,-16.35606214827994,0.8682075335966684,0.827026855117641
216,1,10,1357.2395904064178,0.0005,3,10,0.5,50,central,-15.310681104646017,0.21574681054714126,
217,1,10,1357.2395904064178,0.0005,3,10,0.5,50,local,-16.064078597100327,0.8077694584772903,0.7750757083966426
218,1,10,1357.2395904064178,0.0005,3,10,0.5,50,fl,-15.707344891148157,0.6532456944095321,0.6136106452688804
220,9,10,1194.517138004303,0.0005,3,10,0.5,25,central,-15.402218162831185,0.27644260202912324,
221,9,10,1194.517138004303,0.0005,3,10,0.5,25,local,-17.601562374892772,1.1109386264359213,1.0822506258980333
222,9,10,1194.517138004303,0.0005,3,10,0.5,25,fl,-16.35795821447002,0.8919264330626989,0.8510557741922868
240,3,10,250.17729449272156,0.0005,3,10,0.0,100,central,-15.286939226692045,0.17245881072235195,
241,3,10,250.17729449272156,0.0005,3,10,0.0,100,local,-15.628563994773355,0.5421677554974277,0.5170672493348017
242,3,10,250.17729449272156,0.0005,3,10,0.0,100,fl,-15.626014879792365,0.5412321476360049,0.5162617057899588
256,4,10,1327.0724511146545,0.0005,3,10,0.5,10,central,-15.558748446416846,0.4210978732176576,
257,4,10,1327.0724511146545,0.0005,3,10,0.5,10,local,-72.898639294382,1.6046168227877515,1.5493201363562252
258,4,10,1327.0724511146545,0.0005,3,10,0.5,10,fl,-19.284527411438287,1.285208569070855,1.2167338376899002
276,2,10,1216.0419571399689,0.0005,3,10,0.5,100,central,-15.329479771864206,0.17256665521484704,
277,2,10,1216.0419571399689,0.0005,3,10,0.5,100,local,-15.597594439208521,0.5203135330454964,0.4977116194775724
278,2,10,1216.0419571399689,0.0005,3,10,0.5,100,fl,-15.494681565982495,0.42806530125253384,0.40042111885626913
284,8,10,1393.034331560135,0.0005,3,10,1.0,10,central,-15.584658362419578,0.5159542096665645,
285,8,10,1393.034331560135,0.0005,3,10,1.0,10,local,-42.05256518234809,1.5602128012855927,1.4845017493450439
286,8,10,1393.034331560135,0.0005,3,10,1.0,10,fl,-17.056616950892636,1.0822060316587911,0.965282638173773
292,8,10,168.7512662410736,0.0005,3,10,0.0,25,central,-15.421485694092473,0.28460230669296044,
293,8,10,168.7512662410736,0.0005,3,10,0.0,25,local,-17.776160738763814,1.0884653417409114,1.0543674086828774
294,8,10,168.7512662410736,0.0005,3,10,0.0,25,fl,-17.779471227577822,1.0926095825643813,1.05828661804007
296,0,10,161.1464262008667,0.0005,3,10,0.0,50,central,-15.329813612129652,0.20884786279053233,
297,0,10,161.1464262008667,0.0005,3,10,0.0,50,local,-16.187366530232655,0.7165309002708568,0.6897590564465977
298,0,10,161.1464262008667,0.0005,3,10,0.0,50,fl,-16.197743359879713,0.7184155023038719,0.6914017794746604
308,5,10,282.59115839004517,0.0005,3,10,0.0,10,central,-15.674454647783529,0.6661322748630489,
309,5,10,282.59115839004517,0.0005,3,10,0.0,10,local,-52.19459160245317,1.7128970007153455,1.5786353089577214
310,5,10,282.59115839004517,0.0005,3,10,0.0,10,fl,-52.27018851824039,1.712597320657434,1.5785830251749196
324,5,10,1296.23588180542,0.0005,3,10,1.0,25,central,-15.453900507411168,0.2841539761509268,
325,5,10,1296.23588180542,0.0005,3,10,1.0,25,local,-17.649317246195483,0.9776026382379692,0.9283174124579727
326,5,10,1296.23588180542,0.0005,3,10,1.0,25,fl,-16.02387661863903,0.6800276810713249,0.6129984156177768
328,5,10,1362.1330888271332,0.0005,3,10,0.5,25,central,-15.453900507411168,0.2841539761509268,
329,5,10,1362.1330888271332,0.0005,3,10,0.5,25,local,-17.649317246195483,0.9776026382379692,0.9283174124579727
330,5,10,1362.1330888271332,0.0005,3,10,0.5,25,fl,-16.37426781897992,0.7922801571553976,0.7334959915443795
360,8,10,1423.1433849334717,0.0005,3,10,0.5,10,central,-15.584658362419578,0.5159542096665645,
361,8,10,1423.1433849334717,0.0005,3,10,0.5,10,local,-42.05256518234809,1.5602128012855927,1.4845017493450439
362,8,10,1423.1433849334717,0.0005,3,10,0.5,10,fl,-18.310692919132165,1.2618910603778388,1.1648625376660802
368,2,10,1340.1751482486725,0.0005,3,10,1.0,100,central,-15.329479771864206,0.17256665521484704,
369,2,10,1340.1751482486725,0.0005,3,10,1.0,100,local,-15.597594439208521,0.5203135330454964,0.4977116194775724
370,2,10,1340.1751482486725,0.0005,3,10,1.0,100,fl,-15.453833591249964,0.37779349203263046,0.3448331378828652
384,4,10,1510.0308275222778,0.0005,3,10,1.0,10,central,-15.558748446416846,0.4210978732176576,
385,4,10,1510.0308275222778,0.0005,3,10,1.0,10,local,-72.898639294382,1.6046168227877515,1.5493201363562252
386,4,10,1510.0308275222778,0.0005,3,10,1.0,10,fl,-17.590816169237364,1.0908612736596461,1.0102701139210264
396,4,10,269.9618093967438,0.0005,3,10,0.0,25,central,-15.398139433964474,0.373122797306963,
397,4,10,269.9618093967438,0.0005,3,10,0.0,25,local,-17.600890417632264,1.083813332092382,1.015921492627062
398,4,10,269.9618093967438,0.0005,3,10,0.0,25,fl,-17.615966826578983,1.086323458608945,1.018838317827548
408,9,10,261.1653184890747,0.0005,3,10,0.0,10,central,-15.635660134904148,0.4800018836378653,
409,9,10,261.1653184890747,0.0005,3,10,0.0,10,local,-49.05197600513047,1.7110335397344891,1.635218863258806
