,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
233,1,10,291.86083245277405,0.0005,6,10,0.0,50,local,-569.5346752102535,13.002901212419285,13.017821427946377
234,1,10,291.86083245277405,0.0005,6,10,0.0,50,fl,-615.3647169843284,12.907624406615792,12.925911401493284
244,3,10,1368.2006406784058,0.0005,6,10,0.5,100,central,-9.19909178737266,0.1334791421625768,
245,3,10,1368.2006406784058,0.0005,6,10,0.5,100,local,-789.3965685076148,15.004755517076642,14.98556472163494
246,3,10,1368.2006406784058,0.0005,6,10,0.5,100,fl,-20.847235655728742,13.000887246033892,12.979220361121222
252,9,10,1250.1086256504059,0.0005,6,10,1.0,10,central,-10.129485543565721,0.354273826251071,
253,9,10,1250.1086256504059,0.0005,6,10,1.0,10,local,-3986.6780714451343,13.342294185588312,13.322146066105114
254,9,10,1250.1086256504059,0.0005,6,10,1.0,10,fl,-28.858750786230285,12.645468784017362,12.613195546020156
264,5,10,1302.5991406440735,0.0005,6,10,0.5,10,central,-10.067619072105519,0.36176784066543144,
265,5,10,1302.5991406440735,0.0005,6,10,0.5,10,local,-5578.527958559003,13.898049390311485,13.899389628413491
266,5,10,1302.5991406440735,0.0005,6,10,0.5,10,fl,-32.94766142551307,13.403952949624653,13.412233991816388
292,2,10,269.3062961101532,0.0005,6,10,0.0,100,central,-85.84779153690053,3.2377757494690314,
293,2,10,269.3062961101532,0.0005,6,10,0.0,100,local,-543.1975855991254,13.10603463641832,11.521955431228841
294,2,10,269.3062961101532,0.0005,6,10,0.0,100,fl,-542.3715434870338,13.13035687229536,11.30766394520386
316,0,10,1334.3383255004883,0.0005,6,10,0.5,50,central,-86.70506956878504,4.770281850331641,
317,0,10,1334.3383255004883,0.0005,6,10,0.5,50,local,-602.0202770564006,11.684876461708802,11.320894707022578
318,0,10,1334.3383255004883,0.0005,6,10,0.5,50,fl,-24.060612053925695,9.620472139451294,9.311200689013715
320,8,10,471.20417761802673,0.0005,6,10,0.5,25,central,-9.629951725947937,0.2851097845746242,
321,8,10,471.20417761802673,0.0005,6,10,0.5,25,local,-1182.264835977075,16.032018876447648,15.99258347550265
322,8,10,471.20417761802673,0.0005,6,10,0.5,25,fl,-26.629839346679454,14.605392416937969,14.561083249700257
336,1,10,467.32922172546387,0.0005,6,10,0.5,50,central,-9.346665801994677,0.18095246029335785,
337,1,10,467.32922172546387,0.0005,6,10,0.5,50,local,-569.5346752102568,13.002901212419289,13.017821427946378
338,1,10,467.32922172546387,0.0005,6,10,0.5,50,fl,-21.18099345910942,10.535188544322876,10.549081482820338
340,9,10,438.5451776981354,0.0005,6,10,0.5,25,central,-9.477207279858403,0.26931784179074875,
341,9,10,438.5451776981354,0.0005,6,10,0.5,25,local,-955.6633953973696,13.48486789165305,13.477305720243328
342,9,10,438.5451776981354,0.0005,6,10,0.5,25,fl,-25.26373370963585,11.771569156023903,11.766026168433935
368,3,10,270.6226580142975,0.0005,6,10,0.0,100,central,-9.19909178737266,0.1334791421625768,
369,3,10,270.6226580142975,0.0005,6,10,0.0,100,local,-789.3965685076148,15.004755517076642,14.98556472163494
370,3,10,270.6226580142975,0.0005,6,10,0.0,100,fl,-791.9565477901008,15.332085619855983,15.31448762760606
396,4,10,1366.6594035625458,0.0005,6,10,0.5,10,central,-10.122424536955524,0.4227665610072931,
