type,index,value
LL,0,-11.551303457363382
LL,1,-11.476590668275499
LL,2,-11.402509450975794
LL,3,-11.324049284716661
LL,4,-11.252918797018832
LL,5,-11.169069763523325
LL,6,-11.08850816417552
LL,7,-11.019548511789719
LL,8,-10.948671082745058
LL,9,-10.87105229288309
LL,10,-10.794516194170996
LL,11,-10.720296405089961
LL,12,-10.65045227318095
LL,13,-10.576486740207304
LL,14,-10.509819170612214
LL,15,-10.44421250855457
LL,16,-10.382067561474365
LL,17,-10.316365976337087
LL,18,-10.247258126337178
LL,19,-10.184727474886895
LL,20,-10.116522869439743
LL,21,-10.050984938367074
LL,22,-9.989777381835518
LL,23,-9.924721920409484
LL,24,-9.862672251974395
LL,25,-9.807704741486917
LL,26,-9.750382328386998
LL,27,-9.694872359732697
LL,28,-9.639772282451194
LL,29,-9.579046614994532
LL,30,-9.526345424504589
LL,31,-9.470977899050162
LL,32,-9.415406727726037
LL,33,-9.362998871624024
LL,34,-9.311507230263969
LL,35,-9.257430824794463
LL,36,-9.20979954529791
LL,37,-9.165176412458353
LL,38,-9.119173792777662
LL,39,-9.070493064517564
LL,40,-9.02607190367914
LL,41,-8.979172676711675
LL,42,-8.932988006192693
LL,43,-8.890078436361868
LL,44,-8.847538809760287
LL,45,-8.800596076831738
LL,46,-8.75285798972643
LL,47,-8.713227313739965
LL,48,-8.672515780273935
LL,49,-8.632633001838858
MSE,0,0.8463048907222861
MSE,1,0.8768096459296796
MSE,2,0.48334050798392064
MSE,3,0.6943823631056046
MSE,4,0.9568650570590419
MSE,5,0.978818700558746
MSE,6,0.7036832896050589
MSE,7,1.1530273429206026
MSE,8,0.9784736262545853
MSE,9,0.44896274700210714
