type,index,value
LL,0,-8.331238464929664
LL,1,-8.327014584743441
LL,2,-8.323102360865759
LL,3,-8.319201303485574
LL,4,-8.315820418634313
LL,5,-8.312360620480831
LL,6,-8.309389892062374
LL,7,-8.306042048462174
LL,8,-8.303350486281948
LL,9,-8.300748739020712
LL,10,-8.298288750819337
LL,11,-8.295728704306624
LL,12,-8.29326725342348
LL,13,-8.291149303529215
LL,14,-8.288964521631911
LL,15,-8.287082085977232
LL,16,-8.285327943012508
LL,17,-8.283547067157036
LL,18,-8.282028085081995
LL,19,-8.280550523844136
LL,20,-8.279023945783345
LL,21,-8.277856698107176
LL,22,-8.276628305196608
LL,23,-8.275614729377605
LL,24,-8.27465777393687
LL,25,-8.27390470884753
LL,26,-8.272854340382818
LL,27,-8.271763297441952
LL,28,-8.270493230041474
LL,29,-8.269387043517805
LL,30,-8.26854699796494
LL,31,-8.2675783608849
LL,32,-8.266972218074681
LL,33,-8.265997661030273
LL,34,-8.265103139422802
LL,35,-8.26430636833579
LL,36,-8.26397087366136
LL,37,-8.263342434694987
LL,38,-8.263034240680511
LL,39,-8.262508294570111
LL,40,-8.261837397407842
LL,41,-8.261366660645116
LL,42,-8.26140720557164
LL,43,-8.261242905319273
LL,44,-8.260748647762764
LL,45,-8.26016176470093
LL,46,-8.259919021510282
LL,47,-8.259418048632195
LL,48,-8.259164110026
LL,49,-8.259002154455628
MSE,0,0.3359184415206442
MSE,1,0.21672127499330382
MSE,2,0.27610100047225794
MSE,3,0.2792661452006202
MSE,4,0.23113751252374906
MSE,5,0.22648112140185306
MSE,6,0.25425368447282004
MSE,7,0.27713075604416476
MSE,8,0.25223413148978147
MSE,9,0.28841545379464767
