type,index,value
LL,0,-48.48756136415416
LL,1,-48.212158295307916
LL,2,-47.95493337064678
LL,3,-47.684724871077435
LL,4,-47.41498618941113
LL,5,-47.14026696284405
LL,6,-46.890677470972946
LL,7,-46.63181500359747
LL,8,-46.4173405381895
LL,9,-46.1650253239909
LL,10,-45.922610646557835
LL,11,-45.686305790550016
LL,12,-45.45629662068829
LL,13,-45.208182313216795
LL,14,-44.98665101333914
LL,15,-44.78342013334448
LL,16,-44.57844365357262
LL,17,-44.352471993615005
LL,18,-44.15958598428741
LL,19,-43.932994356226914
LL,20,-43.739011029446445
LL,21,-43.53178859479913
LL,22,-43.30708030539169
LL,23,-43.10201049608738
LL,24,-42.9218927270878
LL,25,-42.70983817227096
LL,26,-42.52459220091566
LL,27,-42.36731366150809
LL,28,-42.17470532490601
LL,29,-42.00541688962585
LL,30,-41.83074588109347
LL,31,-41.65558191332215
LL,32,-41.49034955670765
LL,33,-41.336926746442046
LL,34,-41.19293398732347
LL,35,-41.05147198612729
LL,36,-40.88575642881556
LL,37,-40.72133046983781
LL,38,-40.578312243808504
LL,39,-40.41852845584406
LL,40,-40.25697844555915
LL,41,-40.11511184969883
LL,42,-39.99133458388241
LL,43,-39.860989303713396
LL,44,-39.72047228497376
LL,45,-39.57205119706123
LL,46,-39.421931989825836
LL,47,-39.2956790446746
LL,48,-39.152352315416984
LL,49,-39.02170573647536
MSE,0,1.622825267394769
MSE,1,1.6500195093467402
MSE,2,1.7712894852408168
MSE,3,1.3629920149365862
MSE,4,1.4174225058695802
MSE,5,1.5078117143611138
MSE,6,1.9688423499932977
MSE,7,1.548796720999075
MSE,8,1.969335733208009
MSE,9,1.748085297020241
