type,index,value
LL,0,-9.11085929990405
LL,1,-9.086314174358947
LL,2,-9.062319349030089
LL,3,-9.039182666791476
LL,4,-9.016803375449546
LL,5,-8.99522262648604
LL,6,-8.973889513877197
LL,7,-8.953150752584525
LL,8,-8.93299550060892
LL,9,-8.913120246991415
LL,10,-8.894217501703409
LL,11,-8.875393399640526
LL,12,-8.85745583171968
LL,13,-8.83972224109297
LL,14,-8.822757077473444
LL,15,-8.806177312120251
LL,16,-8.790391347291816
LL,17,-8.774510228190627
LL,18,-8.758893851388198
LL,19,-8.74397415120157
LL,20,-8.729424105697104
LL,21,-8.715611506189386
LL,22,-8.701841455431506
LL,23,-8.68856122545753
LL,24,-8.675905739157304
LL,25,-8.663739112311855
LL,26,-8.651934422690504
LL,27,-8.64069566058673
LL,28,-8.629760026258996
LL,29,-8.618983304612183
LL,30,-8.60880371962599
LL,31,-8.599003418540248
LL,32,-8.58896894929649
LL,33,-8.579829353540024
LL,34,-8.571176593675178
LL,35,-8.562683783301614
LL,36,-8.554005967078623
LL,37,-8.546112511672
LL,38,-8.538205026089084
LL,39,-8.530842128964073
LL,40,-8.52314571173116
LL,41,-8.5163283333419
LL,42,-8.509543333911871
LL,43,-8.50320640512773
LL,44,-8.496326797886692
LL,45,-8.490599486169868
LL,46,-8.484319680280146
LL,47,-8.477945126573877
LL,48,-8.472675186170944
LL,49,-8.467507924544881
MSE,0,0.3842721369180782
MSE,1,0.43269993375186483
MSE,2,0.379001213081547
MSE,3,0.39541076593819985
MSE,4,0.5392231344848607
MSE,5,0.3533056559520264
MSE,6,0.3575559630160918
MSE,7,0.5119406706919005
MSE,8,0.5047476996225315
MSE,9,0.44721322280550374
