type,index,value
LL,0,-8.605873557577379
LL,1,-8.59938168063219
LL,2,-8.593510249640625
LL,3,-8.58801304751514
LL,4,-8.582804626394937
LL,5,-8.578100807040004
LL,6,-8.574055318292794
LL,7,-8.570211089595299
LL,8,-8.566847455857065
LL,9,-8.563708254096905
LL,10,-8.561108224679334
LL,11,-8.559130901487745
LL,12,-8.557226452082856
LL,13,-8.55589947183285
LL,14,-8.55463799250607
LL,15,-8.553846874806514
LL,16,-8.55364963976228
LL,17,-8.553718434846695
LL,18,-8.553924251197628
LL,19,-8.55456962839
LL,20,-8.555378099376359
LL,21,-8.556732702851285
LL,22,-8.558451588655231
LL,23,-8.560468657785098
LL,24,-8.56275945737747
LL,25,-8.565353760811474
LL,26,-8.568276539710528
LL,27,-8.571582231326465
LL,28,-8.57504789647119
LL,29,-8.578820763965181
LL,30,-8.5828560653848
LL,31,-8.587307657502283
LL,32,-8.591914419817375
LL,33,-8.596759459441659
LL,34,-8.601765610942625
LL,35,-8.607383951127376
LL,36,-8.61313372299988
LL,37,-8.619084947352292
LL,38,-8.625393867820605
LL,39,-8.631660146283815
LL,40,-8.63835144483576
LL,41,-8.645258727763025
LL,42,-8.652376444804023
LL,43,-8.659822334986945
LL,44,-8.667161075759216
LL,45,-8.674988729175078
LL,46,-8.683078613355956
LL,47,-8.691438090616948
LL,48,-8.699920292482092
LL,49,-8.708485216181618
MSE,0,0.8273053659015158
MSE,1,0.8223966552384693
MSE,2,0.8449503597479572
MSE,3,0.8079318695350727
MSE,4,0.7879538500063769
MSE,5,0.6238347588349676
MSE,6,0.7887803818852129
MSE,7,0.5743005121422673
MSE,8,0.6606070820876179
MSE,9,0.7266044866934567
