type,index,value
LL,0,-9.109485750040127
LL,1,-9.086246210842685
LL,2,-9.063619554138201
LL,3,-9.041488457828304
LL,4,-9.020015991004875
LL,5,-8.998975397242342
LL,6,-8.978722023737182
LL,7,-8.959064672294542
LL,8,-8.939841217211391
LL,9,-8.921351135218409
LL,10,-8.903519310016348
LL,11,-8.885967637964598
LL,12,-8.868921349956569
LL,13,-8.852836373129419
LL,14,-8.836810502478613
LL,15,-8.821162052308036
LL,16,-8.806020491827393
LL,17,-8.791555956515591
LL,18,-8.777458178735504
LL,19,-8.76370402654057
LL,20,-8.750734344379241
LL,21,-8.737852018709251
LL,22,-8.725274968222914
LL,23,-8.712914259122394
LL,24,-8.701270503468491
LL,25,-8.68981825365764
LL,26,-8.678802711432594
LL,27,-8.66820406028571
LL,28,-8.657728731328394
LL,29,-8.647289721319407
LL,30,-8.637190640145223
LL,31,-8.627895120371276
LL,32,-8.618627187836001
LL,33,-8.609724917456452
LL,34,-8.600314573887895
LL,35,-8.591733986719674
LL,36,-8.584018806594187
LL,37,-8.576150625789595
LL,38,-8.56852834920834
LL,39,-8.56091698891729
LL,40,-8.55375959512308
LL,41,-8.546553234127279
LL,42,-8.540012148844918
LL,43,-8.533146790752244
LL,44,-8.527089435012346
LL,45,-8.521199421965914
LL,46,-8.515362801443926
LL,47,-8.509556169515431
LL,48,-8.504389341499763
LL,49,-8.49877711550634
MSE,0,0.4326749413310933
MSE,1,0.29794406245687605
MSE,2,0.5886723885950736
MSE,3,0.3472639548338683
MSE,4,0.40680109329641917
MSE,5,0.6140207998430288
MSE,6,0.3086525897169871
MSE,7,0.43381024229033077
MSE,8,0.505758323927206
MSE,9,0.5200177711899625
