type,index,value
LL,0,-17.890399539840324
LL,1,-17.842272815778127
LL,2,-17.794880130321765
LL,3,-17.748807299140175
LL,4,-17.70327902877363
LL,5,-17.659731897613984
LL,6,-17.617386348618886
LL,7,-17.575143772754878
LL,8,-17.53524754224335
LL,9,-17.495401956924006
LL,10,-17.456714262880404
LL,11,-17.419477030515075
LL,12,-17.38315524484841
LL,13,-17.347451045094083
LL,14,-17.312605572063422
LL,15,-17.278929353928262
LL,16,-17.245529719836007
LL,17,-17.213922420468442
LL,18,-17.183181303669485
LL,19,-17.153847485512767
LL,20,-17.124792893399672
LL,21,-17.0960776614524
LL,22,-17.068424784120925
LL,23,-17.042163354959907
LL,24,-17.015929532089345
LL,25,-16.991322726870717
LL,26,-16.965861949708557
LL,27,-16.941897936854453
LL,28,-16.918177763013965
LL,29,-16.89500615743679
LL,30,-16.87367559690769
LL,31,-16.851721143168874
LL,32,-16.830866853505526
LL,33,-16.81092324752013
LL,34,-16.7915760201485
LL,35,-16.772715973227708
LL,36,-16.753565818493648
LL,37,-16.735412071806877
LL,38,-16.717746171228335
LL,39,-16.701429201397566
LL,40,-16.68457542219219
LL,41,-16.6686345476987
LL,42,-16.65264023613895
LL,43,-16.638109583366706
LL,44,-16.624037362161534
LL,45,-16.6105080317883
LL,46,-16.59747847008901
LL,47,-16.584145752213075
LL,48,-16.57190298025404
LL,49,-16.55971904822359
MSE,0,1.0921778715076036
MSE,1,1.088364545487075
MSE,2,0.8816061295042429
MSE,3,1.0618773668626849
MSE,4,1.0284748853297005
MSE,5,1.0452223947888968
MSE,6,0.9783576554446803
MSE,7,0.9837440023969841
MSE,8,0.9826116079965738
MSE,9,1.0353931327729555
