type,index,value
LL,0,-16.05949529007877
LL,1,-16.04460027310624
LL,2,-16.030322161298987
LL,3,-16.017091815277034
LL,4,-16.004715252704457
LL,5,-15.993359351932938
LL,6,-15.982349377856394
LL,7,-15.972439520151672
LL,8,-15.963103861386296
LL,9,-15.954956005301714
LL,10,-15.947339522174914
LL,11,-15.940646999538766
LL,12,-15.934601223549151
LL,13,-15.9292199103683
LL,14,-15.924634530348396
LL,15,-15.920542632578583
LL,16,-15.917139917495524
LL,17,-15.914351913536379
LL,18,-15.912405718410772
LL,19,-15.910876093873743
LL,20,-15.909959273076556
LL,21,-15.909574919569241
LL,22,-15.909595688877578
LL,23,-15.910051784636881
LL,24,-15.911506504513065
LL,25,-15.913003656587472
LL,26,-15.915359210001913
LL,27,-15.918184530175495
LL,28,-15.921849882839421
LL,29,-15.925691362700153
LL,30,-15.930190016910235
LL,31,-15.934778375171941
LL,32,-15.939787274464575
LL,33,-15.945279405943651
LL,34,-15.951607595976185
LL,35,-15.958072383812043
LL,36,-15.964726105929724
LL,37,-15.971957831283206
LL,38,-15.979675091115046
LL,39,-15.987701292141688
LL,40,-15.996348226492577
LL,41,-16.005263384257926
LL,42,-16.01425404184628
LL,43,-16.023526001501295
LL,44,-16.033207747429138
LL,45,-16.043204350699618
LL,46,-16.053415465271538
LL,47,-16.063925037182067
LL,48,-16.07513354488658
LL,49,-16.085996338076452
MSE,0,0.9774401571249571
MSE,1,0.9454412723884458
MSE,2,1.0378052944101999
MSE,3,0.8874217043331701
MSE,4,0.843092562865641
MSE,5,0.9109879727406341
MSE,6,0.8840476553390216
MSE,7,0.9981339219271478
MSE,8,0.8302280071000848
MSE,9,0.9911992018724388
