type,index,value
LL,0,-9.108641716467027
LL,1,-9.093220980726063
LL,2,-9.078562569400843
LL,3,-9.06422625184683
LL,4,-9.050480552392475
LL,5,-9.037436008943738
LL,6,-9.024867916974086
LL,7,-9.01280346273486
LL,8,-9.001268622624389
LL,9,-8.990284489000866
LL,10,-8.980158029961544
LL,11,-8.970134848662315
LL,12,-8.960705581730073
LL,13,-8.951631847207313
LL,14,-8.943412934726549
LL,15,-8.935387698830635
LL,16,-8.928260568543942
LL,17,-8.921150840699214
LL,18,-8.914528823018216
LL,19,-8.90832007292308
LL,20,-8.902359871809791
LL,21,-8.896868254423643
LL,22,-8.891966089750044
LL,23,-8.887585867974419
LL,24,-8.883206205858247
LL,25,-8.879382832657432
LL,26,-8.876260337238339
LL,27,-8.873232493103034
LL,28,-8.870368011787026
LL,29,-8.86821431020345
LL,30,-8.866406942769807
LL,31,-8.864645785045166
LL,32,-8.863111263512229
LL,33,-8.861879169955523
LL,34,-8.861121451100413
LL,35,-8.861110849481452
LL,36,-8.861338451571097
LL,37,-8.86160549748093
LL,38,-8.862223394122017
LL,39,-8.863164778420543
LL,40,-8.864541257344579
LL,41,-8.865844365146035
LL,42,-8.867482763301593
LL,43,-8.869284062995588
LL,44,-8.871428762948188
LL,45,-8.873547638808637
LL,46,-8.875968930257523
LL,47,-8.878382350834247
LL,48,-8.882144509131294
LL,49,-8.88566914492728
MSE,0,0.8358725541769377
MSE,1,0.5409149877280017
MSE,2,0.9047510578028525
MSE,3,0.7293455859922006
MSE,4,0.7009353955954102
MSE,5,0.8777426371606164
MSE,6,0.725463920887985
MSE,7,0.7281128113698164
MSE,8,0.8254891720721765
MSE,9,0.9584533408549251
