type,index,value
LL,0,-8.356801625347924
LL,1,-8.354696804655932
LL,2,-8.352917808735164
LL,3,-8.35151845067079
LL,4,-8.350555033717503
LL,5,-8.349974964286366
LL,6,-8.349692441479272
LL,7,-8.349724487402302
LL,8,-8.350086098910193
LL,9,-8.350909825133822
LL,10,-8.35204619790402
LL,11,-8.353512177413096
LL,12,-8.35533250838564
LL,13,-8.35742213989789
LL,14,-8.359925906459818
LL,15,-8.362730515172034
LL,16,-8.365875213642164
LL,17,-8.369328100602946
LL,18,-8.373052346373587
LL,19,-8.377086447760131
LL,20,-8.381390468144817
LL,21,-8.385938355548127
LL,22,-8.390805640717923
LL,23,-8.395903810686708
LL,24,-8.401238467304488
LL,25,-8.40698995976958
LL,26,-8.412968786607827
LL,27,-8.419170689848755
LL,28,-8.425698721615738
LL,29,-8.43234952636985
LL,30,-8.439281840035633
LL,31,-8.44649876918505
LL,32,-8.453927982301924
LL,33,-8.461528874924472
LL,34,-8.469323108369942
LL,35,-8.477463597810782
LL,36,-8.485684652026695
LL,37,-8.494306040811534
LL,38,-8.503059726116721
LL,39,-8.51198236388806
LL,40,-8.521171103936474
LL,41,-8.530526361496227
LL,42,-8.539984783889697
LL,43,-8.549686563141046
LL,44,-8.559476918999653
LL,45,-8.569533028666626
LL,46,-8.579813283116774
LL,47,-8.590170301948817
LL,48,-8.600768751134233
LL,49,-8.611416979193976
MSE,0,0.600703796082522
MSE,1,0.6125043062538361
MSE,2,0.6542786232454013
MSE,3,0.8318658260855828
MSE,4,0.5591562145392863
MSE,5,0.6835727712237304
MSE,6,0.6760803216885701
MSE,7,0.6336036309036097
MSE,8,0.577189438891724
MSE,9,0.6892437835668318
