type,index,value
LL,0,-3.990206033414018
LL,1,-3.986850065946952
LL,2,-3.9836303965193935
LL,3,-3.9805997480738737
LL,4,-3.9777390838429283
LL,5,-3.9748566919685695
LL,6,-3.9721608554651135
LL,7,-3.969572490290505
LL,8,-3.967121571103919
LL,9,-3.9648398650790853
LL,10,-3.9626361000220576
LL,11,-3.960646656238287
LL,12,-3.9587267310659904
LL,13,-3.956743099175397
LL,14,-3.9547948083784825
LL,15,-3.9532052164914915
LL,16,-3.9514514829019958
LL,17,-3.949864071545716
LL,18,-3.948455897253388
LL,19,-3.9469471440365593
LL,20,-3.945603108566467
LL,21,-3.944514366521991
LL,22,-3.9433003197484346
LL,23,-3.9421414610660244
LL,24,-3.941006291877985
LL,25,-3.9400681798976
LL,26,-3.9393034054501377
LL,27,-3.938485432772707
LL,28,-3.9376472714673403
LL,29,-3.936797677062632
LL,30,-3.935954809160728
LL,31,-3.935410712688923
LL,32,-3.9348072845910793
LL,33,-3.9341511339757256
LL,34,-3.933454019111229
LL,35,-3.93291006014807
LL,36,-3.9323070868879797
LL,37,-3.9318479020181174
LL,38,-3.9314368335478647
LL,39,-3.9309170287620447
LL,40,-3.9303618034409284
LL,41,-3.929909198948086
LL,42,-3.9296763041864167
LL,43,-3.9291845787212525
LL,44,-3.928766211708082
LL,45,-3.9285199798943977
LL,46,-3.928037994320995
LL,47,-3.9278155514382105
LL,48,-3.9274652015784937
LL,49,-3.927314806542536
MSE,0,0.1595516737596033
MSE,1,0.1289961119445945
MSE,2,0.144650502813905
MSE,3,0.11190551357304025
MSE,4,0.13927489379429756
MSE,5,0.1550787988594173
MSE,6,0.1834737053004143
MSE,7,0.16079073246165476
MSE,8,0.08132941460366011
MSE,9,0.10851477899736982
