type,index,value
LL,0,-4.22486592282053
LL,1,-4.220618105077973
LL,2,-4.216583699065881
LL,3,-4.213308084389297
LL,4,-4.209921220534152
LL,5,-4.206446475774927
LL,6,-4.203680224163074
LL,7,-4.200376893110192
LL,8,-4.197528865807353
LL,9,-4.1950050478345755
LL,10,-4.192408622158723
LL,11,-4.1902951656293705
LL,12,-4.188426749531599
LL,13,-4.1862987807504775
LL,14,-4.18419977313177
LL,15,-4.182833005104728
LL,16,-4.181327216917142
LL,17,-4.179458541454806
LL,18,-4.178012567793447
LL,19,-4.1769498503616544
LL,20,-4.175730110090012
LL,21,-4.174834441181766
LL,22,-4.174501053711589
LL,23,-4.173845477241539
LL,24,-4.173092927541157
LL,25,-4.173198873186275
LL,26,-4.1729845880336915
LL,27,-4.173076089930031
LL,28,-4.173120419388196
LL,29,-4.173398706469778
LL,30,-4.174017598511304
LL,31,-4.175375779178583
LL,32,-4.175679300562644
LL,33,-4.176769273891186
LL,34,-4.177789576972436
LL,35,-4.179488848339075
LL,36,-4.1807499073903065
LL,37,-4.181699881597964
LL,38,-4.183249128246913
LL,39,-4.184274357610503
LL,40,-4.185823437053591
LL,41,-4.187313323223319
LL,42,-4.189301586653752
LL,43,-4.1911978558471485
LL,44,-4.192607929584182
LL,45,-4.194363215819826
LL,46,-4.196701629616266
LL,47,-4.198117613235114
LL,48,-4.200398223416395
LL,49,-4.203535979483894
MSE,0,0.29586070872646
MSE,1,0.5775991179471738
MSE,2,0.5524153707832579
MSE,3,0.34418723581990224
MSE,4,0.332278619428615
MSE,5,0.4641221121923374
MSE,6,0.5254891911294348
MSE,7,0.6069152269619594
MSE,8,0.23856213494929004
MSE,9,0.7184094857106228
