type,index,value
LL,0,-15.596401962148642
LL,1,-15.591163003278044
LL,2,-15.58665839774088
LL,3,-15.583027528622798
LL,4,-15.58009433691289
LL,5,-15.577963326445786
LL,6,-15.57644785701377
LL,7,-15.575931611053942
LL,8,-15.575987473092889
LL,9,-15.576828174350482
LL,10,-15.57830866541023
LL,11,-15.580521912441043
LL,12,-15.583378675000963
LL,13,-15.586773806361695
LL,14,-15.590978713912563
LL,15,-15.59575789461615
LL,16,-15.601170428836989
LL,17,-15.60725357795575
LL,18,-15.613900938920395
LL,19,-15.621226981770292
LL,20,-15.629164034511874
LL,21,-15.637572361755
LL,22,-15.646596021761798
LL,23,-15.656118519016005
LL,24,-15.666305964233453
LL,25,-15.677011208666945
LL,26,-15.688149557885719
LL,27,-15.69984937228738
LL,28,-15.712096666900061
LL,29,-15.724849287436106
LL,30,-15.738174757820328
LL,31,-15.751754580392774
LL,32,-15.765820058211773
LL,33,-15.780414272291974
LL,34,-15.795434251583885
LL,35,-15.81096715870431
LL,36,-15.826951215245533
LL,37,-15.84323379806531
LL,38,-15.859967265397406
LL,39,-15.877187391753258
LL,40,-15.894756602597747
LL,41,-15.912723948828532
LL,42,-15.931222474451957
LL,43,-15.949999242960676
LL,44,-15.969166794250842
LL,45,-15.98865309407365
LL,46,-16.008402051963735
LL,47,-16.02859509411815
LL,48,-16.049011031830812
LL,49,-16.06989155774396
MSE,0,0.9307065658653556
MSE,1,0.7475396616208206
MSE,2,0.986214896892057
MSE,3,0.9762564752881233
MSE,4,0.914878308223393
MSE,5,1.0017841697912118
MSE,6,0.7860638151234295
MSE,7,0.9496048660272036
MSE,8,0.7894521319177269
MSE,9,0.9472508425776134
