type,index,value
LL,0,-23.756763526754327
LL,1,-23.61347955498281
LL,2,-23.647275306066373
LL,3,-23.704636447622896
LL,4,-23.700549393855034
LL,5,-23.659305941737312
LL,6,-23.65389376176057
LL,7,-23.588031974396237
LL,8,-23.536866425664435
LL,9,-23.557773143294742
LL,10,-23.445721961362977
LL,11,-23.40915562692141
LL,12,-23.385079459532726
LL,13,-23.48159202095389
LL,14,-23.39398303213333
LL,15,-23.40322992903098
LL,16,-23.45114303851706
LL,17,-23.360766751638547
LL,18,-23.38827320421219
LL,19,-23.325955733647866
LL,20,-23.36876354712844
LL,21,-23.370656734754153
LL,22,-23.371036639112983
LL,23,-23.335210779390277
LL,24,-23.379521783086837
LL,25,-23.38795912856839
LL,26,-23.308608294351192
LL,27,-23.392320157322025
LL,28,-23.39378331059122
LL,29,-23.36851018743173
LL,30,-23.26198329422084
LL,31,-23.239947271593227
LL,32,-23.168909687236987
LL,33,-23.156513122573386
LL,34,-23.111425712638248
LL,35,-23.109302665696813
LL,36,-23.03616085105798
LL,37,-22.973573217580675
LL,38,-22.95064881115585
LL,39,-22.888979545112402
LL,40,-22.846841542138105
LL,41,-22.878181991822345
LL,42,-22.846648322339327
LL,43,-22.804595896847335
LL,44,-22.865141748885698
LL,45,-22.77805789161598
LL,46,-22.80919038236673
LL,47,-22.740660227145906
LL,48,-22.809647273737173
LL,49,-22.76459086331775
MSE,0,0.8409534245562339
MSE,1,0.8936454267437736
MSE,2,0.42266991681847915
MSE,3,0.41067086182993107
MSE,4,1.1249727291886324
MSE,5,1.0229319956442937
MSE,6,0.8232927414801567
MSE,7,1.1617190376998945
MSE,8,0.972253702621427
MSE,9,0.40098845018419293
