type,index,value
LL,0,-3.982881000123573
LL,1,-3.9791450551368093
LL,2,-3.975515812024328
LL,3,-3.972248740097978
LL,4,-3.96909536597859
LL,5,-3.966147107556111
LL,6,-3.963304186721377
LL,7,-3.9605735868679672
LL,8,-3.9582094473544283
LL,9,-3.9556599402698387
LL,10,-3.9532093538789668
LL,11,-3.9510061589060728
LL,12,-3.9488196454405697
LL,13,-3.946881729804258
LL,14,-3.9450271919215965
LL,15,-3.943210487871363
LL,16,-3.9415052156018278
LL,17,-3.9399697130165756
LL,18,-3.93865795595922
LL,19,-3.937511818859927
LL,20,-3.9363111959494588
LL,21,-3.935170314846155
LL,22,-3.934162158968358
LL,23,-3.9331321392880136
LL,24,-3.932251610410846
LL,25,-3.9311793193691607
LL,26,-3.9305132296269774
LL,27,-3.929651786258013
LL,28,-3.929391627984688
LL,29,-3.928816663644733
LL,30,-3.9286115145058567
LL,31,-3.9284352806377476
LL,32,-3.928103477860019
LL,33,-3.9279507498509005
LL,34,-3.9277696732253533
LL,35,-3.9274720812998636
LL,36,-3.9275144531678654
LL,37,-3.927349696419095
LL,38,-3.92734740241904
LL,39,-3.927299734548504
LL,40,-3.9275315353520255
LL,41,-3.927620803036837
LL,42,-3.927740331757233
LL,43,-3.927758328973895
LL,44,-3.928017863232818
LL,45,-3.928290296291801
LL,46,-3.9287256011982747
LL,47,-3.9291753463444357
LL,48,-3.929612077610428
LL,49,-3.930456380989411
MSE,0,0.4507036363522198
MSE,1,0.3796380311744847
MSE,2,0.6051686189166515
MSE,3,0.3314555611052467
MSE,4,0.29330740423252555
MSE,5,0.5387471560081548
MSE,6,0.5046661985725864
MSE,7,0.3838237477028412
MSE,8,0.37332976795300654
MSE,9,0.49828761581269304
