type,index,value
LL,0,-20.722615417290832
LL,1,-20.62988444942149
LL,2,-20.536107156318884
LL,3,-20.44365138539491
LL,4,-20.354492954933498
LL,5,-20.25897739588397
LL,6,-20.169720964669263
LL,7,-20.084641767078235
LL,8,-20.000991120130756
LL,9,-19.914765702661477
LL,10,-19.83207606951668
LL,11,-19.747244746092917
LL,12,-19.666467039593456
LL,13,-19.58723222873065
LL,14,-19.508693799966142
LL,15,-19.43525628085346
LL,16,-19.35870845835885
LL,17,-19.285365572615195
LL,18,-19.206049862912547
LL,19,-19.13656000463204
LL,20,-19.061021033628343
LL,21,-18.98679697651989
LL,22,-18.91743114880871
LL,23,-18.853976216342144
LL,24,-18.78870140809054
LL,25,-18.725126896037665
LL,26,-18.656778557165513
LL,27,-18.597318241815834
LL,28,-18.539367860429344
LL,29,-18.488674852100786
LL,30,-18.430971966120012
LL,31,-18.36974392887423
LL,32,-18.306507415685225
LL,33,-18.24918929228914
LL,34,-18.19341891235448
LL,35,-18.139556845254074
LL,36,-18.076859643490547
LL,37,-18.02650317113318
LL,38,-17.977167689376845
LL,39,-17.920543845905428
LL,40,-17.87278261375337
LL,41,-17.81729872570586
LL,42,-17.776515872954793
LL,43,-17.723915782096316
LL,44,-17.68218386922289
LL,45,-17.628991988159598
LL,46,-17.588330572166477
LL,47,-17.540175061265426
LL,48,-17.506006218155715
LL,49,-17.45616709357143
MSE,0,1.2284690620858223
MSE,1,1.247587656307298
MSE,2,1.5683121375195714
MSE,3,0.9554442882389633
MSE,4,1.4792381198718259
MSE,5,0.9746629751839214
MSE,6,1.1010536034433498
MSE,7,1.1242235556910811
MSE,8,1.2985656739448024
MSE,9,0.9067974226220382
