type,index,value
LL,0,-3.8548276201017098
LL,1,-3.8507660541300184
LL,2,-3.8469830575697537
LL,3,-3.8433026612029257
LL,4,-3.8396741505527885
LL,5,-3.8361882298027283
LL,6,-3.8330547228369043
LL,7,-3.8297806975789563
LL,8,-3.8266229684966104
LL,9,-3.8240049280577715
LL,10,-3.8214005788634964
LL,11,-3.818999220682617
LL,12,-3.8166755309320406
LL,13,-3.8143327573250287
LL,14,-3.8122883944473123
LL,15,-3.8103342529019764
LL,16,-3.8081688003083785
LL,17,-3.8062840414294987
LL,18,-3.8045922068404936
LL,19,-3.803108761502146
LL,20,-3.8015963903927323
LL,21,-3.80008862616774
LL,22,-3.798652691952609
LL,23,-3.79761926314601
LL,24,-3.796310415914929
LL,25,-3.795235263636241
LL,26,-3.794374399199564
LL,27,-3.7933696436983957
LL,28,-3.792510495435161
LL,29,-3.791551991471205
LL,30,-3.7906206526882236
LL,31,-3.7900145113708015
LL,32,-3.789446772835075
LL,33,-3.78876537816711
LL,34,-3.7882486071256536
LL,35,-3.787860201524783
LL,36,-3.787762132248693
LL,37,-3.787582408468906
LL,38,-3.7875445518937676
LL,39,-3.7876272489427727
LL,40,-3.7874443354569856
LL,41,-3.787388045393885
LL,42,-3.7874987837673912
LL,43,-3.7876705729714573
LL,44,-3.787637225102567
LL,45,-3.7875942364517883
LL,46,-3.78738044234995
LL,47,-3.787500049243839
LL,48,-3.78764450914654
LL,49,-3.7876850564746585
MSE,0,0.553376765031356
MSE,1,0.3340944954316412
MSE,2,0.6479983193285123
MSE,3,0.7396411920546694
MSE,4,0.42447595578941516
MSE,5,0.21759234373884254
MSE,6,0.3459281159189976
MSE,7,0.5280366374580883
MSE,8,0.37339054492800655
MSE,9,0.4599455536217864
