type,index,value
LL,0,-15.586539851373022
LL,1,-15.582868108694857
LL,2,-15.579896862967379
LL,3,-15.57748388256471
LL,4,-15.575935792388282
LL,5,-15.574968838150507
LL,6,-15.574769293723566
LL,7,-15.575402045729367
LL,8,-15.57620679569346
LL,9,-15.57801870713046
LL,10,-15.580589430789624
LL,11,-15.583909306161047
LL,12,-15.587668551149804
LL,13,-15.591994216486734
LL,14,-15.597022942516489
LL,15,-15.602770709664942
LL,16,-15.608972434033243
LL,17,-15.615776825337353
LL,18,-15.623216788176933
LL,19,-15.631343238805414
LL,20,-15.63963759420805
LL,21,-15.648729114958732
LL,22,-15.658392417998305
LL,23,-15.668275720512906
LL,24,-15.67890855823008
LL,25,-15.690035725229126
LL,26,-15.701763195900734
LL,27,-15.713922011371803
LL,28,-15.726459131406756
LL,29,-15.739475300745061
LL,30,-15.75297042404525
LL,31,-15.766926348799524
LL,32,-15.781311505890837
LL,33,-15.796117908922724
LL,34,-15.811358743847183
LL,35,-15.827031081988574
LL,36,-15.843078362252788
LL,37,-15.859607703653234
LL,38,-15.876488704776762
LL,39,-15.893973461881023
LL,40,-15.911888735168242
LL,41,-15.93017836670693
LL,42,-15.94870519789463
LL,43,-15.967493766922175
LL,44,-15.986700020295839
LL,45,-16.006227981056746
LL,46,-16.026347195241268
LL,47,-16.046561582605484
LL,48,-16.06725596778915
LL,49,-16.088248042273705
MSE,0,0.9677797579586599
MSE,1,0.9757661722802212
MSE,2,0.8192416411507953
MSE,3,0.8768050975952058
MSE,4,0.8978531546422834
MSE,5,0.8673238290330089
MSE,6,0.9494951532481242
MSE,7,0.8640142381155665
MSE,8,1.02887451701077
MSE,9,0.9318673916105787
