type,index,value
LL,0,-9.347950267469013
LL,1,-9.332115890547396
LL,2,-9.316719839565689
LL,3,-9.301207835148833
LL,4,-9.286498635017598
LL,5,-9.272135323342583
LL,6,-9.258745987525717
LL,7,-9.245482096631605
LL,8,-9.233148298994049
LL,9,-9.22082205045284
LL,10,-9.210101907100924
LL,11,-9.19921807198982
LL,12,-9.18886327807742
LL,13,-9.178750620051353
LL,14,-9.168938950049874
LL,15,-9.160140257356895
LL,16,-9.151976123981672
LL,17,-9.143694530573672
LL,18,-9.136329157572153
LL,19,-9.129003151671665
LL,20,-9.121793334621207
LL,21,-9.115197695919495
LL,22,-9.109202826147484
LL,23,-9.103338052702195
LL,24,-9.097823992224026
LL,25,-9.093427112985395
LL,26,-9.089534417981053
LL,27,-9.085084142405584
LL,28,-9.081090203146283
LL,29,-9.07784713121016
LL,30,-9.074621423834818
LL,31,-9.072284614805003
LL,32,-9.070519716227052
LL,33,-9.069164498760346
LL,34,-9.067836048004903
LL,35,-9.067369503867436
LL,36,-9.066829272322703
LL,37,-9.06694940473231
LL,38,-9.066681197116441
LL,39,-9.066531793243113
LL,40,-9.067062797623464
LL,41,-9.067937086278278
LL,42,-9.070817290264689
LL,43,-9.072116096358268
LL,44,-9.074024555291908
LL,45,-9.075626337552293
LL,46,-9.077599720846822
LL,47,-9.079955559189573
LL,48,-9.083900078125872
LL,49,-9.086677496301663
MSE,0,1.0250684461342934
MSE,1,0.8968276774144138
MSE,2,0.7995022755894804
MSE,3,0.6853864547042674
MSE,4,0.9333912512718398
MSE,5,0.9317298340532495
MSE,6,0.9200925255981639
MSE,7,0.8852928281130783
MSE,8,0.9915256458479993
MSE,9,0.8772082044529627
