type,index,value
LL,0,-9.151747734097214
LL,1,-9.138932093305051
LL,2,-9.126474765295896
LL,3,-9.114504738815999
LL,4,-9.10320104562459
LL,5,-9.092746987295037
LL,6,-9.082851655136228
LL,7,-9.07306110015588
LL,8,-9.063364917396711
LL,9,-9.054478525726289
LL,10,-9.046266998398293
LL,11,-9.038577125297468
LL,12,-9.030781547772602
LL,13,-9.023419910125787
LL,14,-9.017092563113845
LL,15,-9.011093491532787
LL,16,-9.005278259668273
LL,17,-9.00047099677619
LL,18,-8.99600888771367
LL,19,-8.991809274200394
LL,20,-8.988245224232582
LL,21,-8.985176699553568
LL,22,-8.982468475838331
LL,23,-8.97995428658559
LL,24,-8.97801587025779
LL,25,-8.976079168300933
LL,26,-8.974765923596545
LL,27,-8.973896980903325
LL,28,-8.973445062759872
LL,29,-8.973454843228255
LL,30,-8.973574147271577
LL,31,-8.974086577989214
LL,32,-8.974895696575457
LL,33,-8.976284793053013
LL,34,-8.977891737286644
LL,35,-8.979900356404208
LL,36,-8.982186577947438
LL,37,-8.984621060277018
LL,38,-8.98741813577824
LL,39,-8.990612039862107
LL,40,-8.9939087947406
LL,41,-8.997503168625306
LL,42,-9.001443678098347
LL,43,-9.00561629606918
LL,44,-9.01032128725954
LL,45,-9.015220542507105
LL,46,-9.020332623861034
LL,47,-9.025655317460355
LL,48,-9.031368299207424
LL,49,-9.03731462627513
MSE,0,0.6333118058790465
MSE,1,0.7250596966387196
MSE,2,1.0888106954209358
MSE,3,0.7547735359730243
MSE,4,0.9432079644558843
MSE,5,0.7960726990202582
MSE,6,0.9038493352743512
MSE,7,0.8547823826334936
MSE,8,0.9884682425525022
MSE,9,0.8009995253197096
