type,index,value
LL,0,-9.351220467650396
LL,1,-9.338775975245792
LL,2,-9.325775322083867
LL,3,-9.313555758772136
LL,4,-9.301841874126657
LL,5,-9.290739236163345
LL,6,-9.279570283542931
LL,7,-9.26960488071647
LL,8,-9.259470920584599
LL,9,-9.250689509696462
LL,10,-9.243010032899933
LL,11,-9.234078962901705
LL,12,-9.226582746573328
LL,13,-9.219181765295271
LL,14,-9.21203417124173
LL,15,-9.2056689697054
LL,16,-9.20073884927806
LL,17,-9.19485594614571
LL,18,-9.189858040555073
LL,19,-9.18531562385336
LL,20,-9.180161459128247
LL,21,-9.175074239351014
LL,22,-9.170072410542486
LL,23,-9.166195128039337
LL,24,-9.162589955201657
LL,25,-9.161232537729529
LL,26,-9.160179736044757
LL,27,-9.158057872573046
LL,28,-9.156009757922536
LL,29,-9.155532771287167
LL,30,-9.153685638889558
LL,31,-9.1536746493118
LL,32,-9.154014895995756
LL,33,-9.154355247478758
LL,34,-9.15483741288155
LL,35,-9.156637397832288
LL,36,-9.158258233374593
LL,37,-9.159357020287155
LL,38,-9.160931414241357
LL,39,-9.163129196537842
LL,40,-9.164708817124817
LL,41,-9.166720109367251
LL,42,-9.169999688361255
LL,43,-9.173210448712158
LL,44,-9.177246616101494
LL,45,-9.180219240081456
LL,46,-9.183435392312436
LL,47,-9.188110441569275
LL,48,-9.191487495030099
LL,49,-9.195606222116933
MSE,0,1.0151313664758288
MSE,1,0.6995010721942344
MSE,2,0.8129105669639493
MSE,3,0.7418480924434134
MSE,4,0.9729281329488932
MSE,5,0.9939932374426812
MSE,6,1.0564493916849367
MSE,7,0.917950199713891
MSE,8,0.9785168070358488
MSE,9,0.8580182020240311
