type,index,value
LL,0,-8.656062584862303
LL,1,-8.649044079241452
LL,2,-8.64276708668515
LL,3,-8.636460748056916
LL,4,-8.630868462152014
LL,5,-8.625638210864045
LL,6,-8.620844051212782
LL,7,-8.616743129608421
LL,8,-8.612599009028017
LL,9,-8.609250592992579
LL,10,-8.606427678232288
LL,11,-8.603759838101478
LL,12,-8.601416277266587
LL,13,-8.599369597750822
LL,14,-8.597851014193441
LL,15,-8.596560391202917
LL,16,-8.595778489065136
LL,17,-8.59517027203393
LL,18,-8.594840166171473
LL,19,-8.59504413412939
LL,20,-8.59570670550259
LL,21,-8.596633125383686
LL,22,-8.598168941780708
LL,23,-8.600021023146379
LL,24,-8.601748595197112
LL,25,-8.603794370114295
LL,26,-8.606336547912194
LL,27,-8.60936224758657
LL,28,-8.61237878079723
LL,29,-8.615898617967655
LL,30,-8.619105732749723
LL,31,-8.622874299512992
LL,32,-8.6270180686162
LL,33,-8.631417588815486
LL,34,-8.636295616493932
LL,35,-8.641311299223524
LL,36,-8.646597050561915
LL,37,-8.652255770777234
LL,38,-8.658426297197844
LL,39,-8.664619927054904
LL,40,-8.67085470025061
LL,41,-8.677216716945697
LL,42,-8.683979447700862
LL,43,-8.690902205509506
LL,44,-8.697846776206786
LL,45,-8.705152558403812
LL,46,-8.712503962360403
LL,47,-8.720354851249773
LL,48,-8.72846107954428
LL,49,-8.73706111189445
MSE,0,0.6194714650428734
MSE,1,0.9712168884525156
MSE,2,0.6472093491525851
MSE,3,0.7820472450112751
MSE,4,0.7860854981872353
MSE,5,0.635950779968428
MSE,6,0.6818308039752319
MSE,7,0.8418517126325624
MSE,8,0.8250013767955148
MSE,9,0.71468733872969
