type,index,value
LL,0,-79.52413938275879
LL,1,-78.57868721813598
LL,2,-77.64999445987283
LL,3,-76.76538019566058
LL,4,-75.87614846557976
LL,5,-75.00672801352391
LL,6,-74.15795529137593
LL,7,-73.29074803747584
LL,8,-72.4503677146036
LL,9,-71.63191489187308
LL,10,-70.85680325524223
LL,11,-70.04697696361909
LL,12,-69.29085518584598
LL,13,-68.52026211163104
LL,14,-67.75904389433224
LL,15,-67.02978631797696
LL,16,-66.29633578823875
LL,17,-65.56951769840508
LL,18,-64.87495848617104
LL,19,-64.2111901743547
LL,20,-63.56602876228364
LL,21,-62.92080525490652
LL,22,-62.25137835288051
LL,23,-61.60165965875724
LL,24,-60.999363887162374
LL,25,-60.391994118250864
LL,26,-59.77135499849935
LL,27,-59.17047103531736
LL,28,-58.589163206039686
LL,29,-58.0232127727711
LL,30,-57.59227854208984
LL,31,-56.99779433698184
LL,32,-56.43907528813829
LL,33,-55.93809931447557
LL,34,-55.497932648174256
LL,35,-54.995637616819614
LL,36,-54.431616808113674
LL,37,-53.973434568436915
LL,38,-53.4548806562481
LL,39,-53.03118216728967
LL,40,-52.58145893494416
LL,41,-52.235816922169285
LL,42,-51.759266737590494
LL,43,-51.2965751977747
LL,44,-50.87325669544323
LL,45,-50.48907674548944
LL,46,-50.01024349976437
LL,47,-49.668152603220314
LL,48,-49.38726517341451
LL,49,-49.04967509920923
MSE,0,1.291626780646326
MSE,1,1.4498497938931294
MSE,2,0.9998579048691855
MSE,3,0.8738534716251719
MSE,4,1.1138096628635124
MSE,5,1.196036412120028
MSE,6,1.6763354236910588
MSE,7,1.5409827493226942
MSE,8,1.2093386496591003
MSE,9,0.7412997807259459
