type,index,value
LL,0,-15.591386757144821
LL,1,-15.583341567603384
LL,2,-15.576123758232779
LL,3,-15.569705254036071
LL,4,-15.564206600473284
LL,5,-15.55931465234199
LL,6,-15.555294703100952
LL,7,-15.552094374892189
LL,8,-15.549553975035632
LL,9,-15.547789213361185
LL,10,-15.546747323188399
LL,11,-15.546375070539089
LL,12,-15.546560865756145
LL,13,-15.547281928863953
LL,14,-15.548849661841796
LL,15,-15.550835321136969
LL,16,-15.55370266096951
LL,17,-15.557167185687229
LL,18,-15.561143349696177
LL,19,-15.56542320316897
LL,20,-15.570698294233798
LL,21,-15.576714048130153
LL,22,-15.583139540689848
LL,23,-15.589988936751292
LL,24,-15.597258954404348
LL,25,-15.605219083449493
LL,26,-15.613672488827381
LL,27,-15.622821287686355
LL,28,-15.632495068166602
LL,29,-15.64256323950986
LL,30,-15.653091533947446
LL,31,-15.664137140601714
LL,32,-15.675392689334439
LL,33,-15.687285976311909
LL,34,-15.699425461391453
LL,35,-15.71193657580084
LL,36,-15.725067854160107
LL,37,-15.738624626915485
LL,38,-15.752353513373535
LL,39,-15.766612571759092
LL,40,-15.781508044627603
LL,41,-15.796719733494612
LL,42,-15.812286874453722
LL,43,-15.828053624925332
LL,44,-15.8441667268304
LL,45,-15.860614928169303
LL,46,-15.877576927214776
LL,47,-15.894684929435087
LL,48,-15.911957525232022
LL,49,-15.929535489417214
MSE,0,0.8550164250212982
MSE,1,0.6324805436711921
MSE,2,0.7861280938221795
MSE,3,0.7651093290222862
MSE,4,0.7916656002911413
MSE,5,0.6709269928705766
MSE,6,0.7492448467735483
MSE,7,0.7362546208468327
MSE,8,0.7638054842849801
MSE,9,0.7670673258297711
