type,index,value
LL,0,-17.886876710065575
LL,1,-17.836095138799244
LL,2,-17.786217723387143
LL,3,-17.73750493846399
LL,4,-17.689342991208868
LL,5,-17.64208943853648
LL,6,-17.596721069694215
LL,7,-17.552406575499887
LL,8,-17.510138970245997
LL,9,-17.467509952103356
LL,10,-17.42665390165878
LL,11,-17.38727773457003
LL,12,-17.348559844429722
LL,13,-17.310046128842554
LL,14,-17.27342506774036
LL,15,-17.237370333176507
LL,16,-17.201397862213877
LL,17,-17.167110149817454
LL,18,-17.134349184016305
LL,19,-17.10233584493162
LL,20,-17.07173731739589
LL,21,-17.041359908388024
LL,22,-17.01112181411501
LL,23,-16.98163756752431
LL,24,-16.952744699977565
LL,25,-16.92679519385137
LL,26,-16.8990775394703
LL,27,-16.873387673105604
LL,28,-16.847353845355535
LL,29,-16.82175602080474
LL,30,-16.79847603783119
LL,31,-16.774337359012915
LL,32,-16.751638472548073
LL,33,-16.73002360505146
LL,34,-16.708650660917122
LL,35,-16.688919179562134
LL,36,-16.66849538012115
LL,37,-16.648483529709384
LL,38,-16.62868952063173
LL,39,-16.610952272945234
LL,40,-16.59296068071856
LL,41,-16.57437901349268
LL,42,-16.556963918224064
LL,43,-16.540870124850777
LL,44,-16.52602517462098
LL,45,-16.509891286451946
LL,46,-16.494377705359348
LL,47,-16.479028842542622
LL,48,-16.46510967620993
LL,49,-16.451220171108382
MSE,0,0.9682190287646195
MSE,1,0.9196916375383154
MSE,2,0.742859522301378
MSE,3,0.8355374574185012
MSE,4,0.7482884154341827
MSE,5,0.7806403519861188
MSE,6,0.7670441523563473
MSE,7,0.8519574072580013
MSE,8,0.8120953168076239
MSE,9,0.926960522844592
