type,index,value
LL,0,-51.14030104710676
LL,1,-50.639645080284595
LL,2,-50.148584464555185
LL,3,-49.66657645253455
LL,4,-49.19058621667454
LL,5,-48.72299762641872
LL,6,-48.26421700799028
LL,7,-47.811527052137606
LL,8,-47.370749350268184
LL,9,-46.92647165185969
LL,10,-46.49573892659812
LL,11,-46.069828991050585
LL,12,-45.65695009223121
LL,13,-45.246959214680615
LL,14,-44.84599867657785
LL,15,-44.45030485472755
LL,16,-44.062660590915385
LL,17,-43.67013853108067
LL,18,-43.292740068407376
LL,19,-42.916097448810355
LL,20,-42.547766293367516
LL,21,-42.18360555179384
LL,22,-41.82763211074783
LL,23,-41.47855208086928
LL,24,-41.1402276041332
LL,25,-40.8014405305631
LL,26,-40.46468429445591
LL,27,-40.13148730983688
LL,28,-39.81037225240494
LL,29,-39.49557680993409
LL,30,-39.1859929468556
LL,31,-38.875213496895114
LL,32,-38.575450926149635
LL,33,-38.27946659813505
LL,34,-37.983151194421936
LL,35,-37.69504576932207
LL,36,-37.412666868954055
LL,37,-37.130712696170335
LL,38,-36.85710596272397
LL,39,-36.58367632818253
LL,40,-36.31843071003126
LL,41,-36.05592228416664
LL,42,-35.79853277076852
LL,43,-35.545694486921995
LL,44,-35.288181801838824
LL,45,-35.04030452066285
LL,46,-34.79831573488343
LL,47,-34.556613644943255
LL,48,-34.320630563785755
LL,49,-34.087562122569466
MSE,0,1.2093240283835298
MSE,1,1.0645339891325258
MSE,2,1.3561137260399485
MSE,3,1.1392359957724691
MSE,4,1.2740975602410292
MSE,5,1.3095073838417024
MSE,6,1.7618258130922577
MSE,7,1.7572716261113441
MSE,8,1.6767271086267046
MSE,9,1.5915728989373923
