type,index,value
LL,0,-4.256106662809032
LL,1,-4.246538999764286
LL,2,-4.237209394784235
LL,3,-4.228104107365216
LL,4,-4.219603445562489
LL,5,-4.211045048143842
LL,6,-4.202760235102769
LL,7,-4.194925903365663
LL,8,-4.1873088185931575
LL,9,-4.179740621495705
LL,10,-4.172302588519919
LL,11,-4.165268688807797
LL,12,-4.158540221148769
LL,13,-4.1519912074939125
LL,14,-4.145614991926773
LL,15,-4.139437001729861
LL,16,-4.133446733401594
LL,17,-4.127171612800626
LL,18,-4.121384138150485
LL,19,-4.11577780444516
LL,20,-4.110270896529026
LL,21,-4.10534219893866
LL,22,-4.100445964351656
LL,23,-4.095771133274991
LL,24,-4.091032478206513
LL,25,-4.08628275042248
LL,26,-4.0819145774080114
LL,27,-4.0776902526990195
LL,28,-4.07353490610131
LL,29,-4.0693903345818825
LL,30,-4.06572849534958
LL,31,-4.062236435238502
LL,32,-4.058538178793258
LL,33,-4.0548957741184575
LL,34,-4.0516428991197815
LL,35,-4.048105503462661
LL,36,-4.044858991970726
LL,37,-4.0421182978731265
LL,38,-4.03913360108541
LL,39,-4.036381588961364
LL,40,-4.033628057057205
LL,41,-4.03108744518849
LL,42,-4.028618884288844
LL,43,-4.026389104301513
LL,44,-4.024205759425434
LL,45,-4.0220433946866745
LL,46,-4.020131031609458
LL,47,-4.018288304831083
LL,48,-4.016431081796007
LL,49,-4.014632580141457
MSE,0,0.2257004121520422
MSE,1,0.17028065470710826
MSE,2,0.46961785137099454
MSE,3,0.2761915169005563
MSE,4,0.2685827555508036
MSE,5,0.3645293275950325
MSE,6,0.22478212120425534
MSE,7,0.41063534924448497
MSE,8,0.4107956576061418
MSE,9,0.2655994593108206
