type,index,value
LL,0,-17.90613280028196
LL,1,-17.87519006192125
LL,2,-17.84636882222137
LL,3,-17.82062638201078
LL,4,-17.791554395844777
LL,5,-17.766676765381572
LL,6,-17.739735771565172
LL,7,-17.715058653799623
LL,8,-17.692799205180087
LL,9,-17.669042217744714
LL,10,-17.645986232218714
LL,11,-17.62279931261838
LL,12,-17.602187246273797
LL,13,-17.58108451133639
LL,14,-17.56096697019932
LL,15,-17.544259195078403
LL,16,-17.528786133215256
LL,17,-17.514467141611902
LL,18,-17.498244128062744
LL,19,-17.484312685581788
LL,20,-17.471616302657498
LL,21,-17.45977117543375
LL,22,-17.447580197415096
LL,23,-17.43633729338925
LL,24,-17.42674587627462
LL,25,-17.419096488884644
LL,26,-17.41232613105216
LL,27,-17.402689327236658
LL,28,-17.39504257056977
LL,29,-17.389061436237228
LL,30,-17.38365616556263
LL,31,-17.37634501347333
LL,32,-17.371746736942747
LL,33,-17.366187086035502
LL,34,-17.362929730250265
LL,35,-17.359824753692813
LL,36,-17.357371866633805
LL,37,-17.35666435662287
LL,38,-17.35531840630056
LL,39,-17.35647131437299
LL,40,-17.35706558623739
LL,41,-17.356189489180174
LL,42,-17.358113211946137
LL,43,-17.360845394611854
LL,44,-17.364050423726116
LL,45,-17.368083422642137
LL,46,-17.3724648816311
LL,47,-17.374378771167738
LL,48,-17.38092223182434
LL,49,-17.384682302648553
MSE,0,1.2168055612604747
MSE,1,1.3849545997392505
MSE,2,0.9814228298823258
MSE,3,1.244817301497138
MSE,4,1.2629555312288325
MSE,5,1.4370220991002494
MSE,6,1.191261528323492
MSE,7,1.3719776702641635
MSE,8,1.2748799691060428
MSE,9,1.4156740380513713
