type,index,value
LL,0,-9.121503528714976
LL,1,-9.107378342105358
LL,2,-9.093799059263151
LL,3,-9.080823471191986
LL,4,-9.06841982169652
LL,5,-9.056459053358243
LL,6,-9.045261420975226
LL,7,-9.034554756603399
LL,8,-9.024335588777753
LL,9,-9.01472729810833
LL,10,-9.005567853501622
LL,11,-8.996953976204583
LL,12,-8.988675284486312
LL,13,-8.981037571435875
LL,14,-8.973665487692466
LL,15,-8.966827462753717
LL,16,-8.960397173359695
LL,17,-8.954475233766114
LL,18,-8.949033823934045
LL,19,-8.944037858976683
LL,20,-8.93942391397729
LL,21,-8.9353180401947
LL,22,-8.931576578358769
LL,23,-8.928233705482885
LL,24,-8.925400589384122
LL,25,-8.92294515957007
LL,26,-8.920762646393023
LL,27,-8.91903880558092
LL,28,-8.917711876431062
LL,29,-8.916728907839792
LL,30,-8.91614064929096
LL,31,-8.915949449810046
LL,32,-8.91607450112937
LL,33,-8.916596952933427
LL,34,-8.917439809717708
LL,35,-8.918634847762533
LL,36,-8.920189938033804
LL,37,-8.922083811321148
LL,38,-8.924270750058223
LL,39,-8.92662650308127
LL,40,-8.929332376205728
LL,41,-8.932523794705306
LL,42,-8.935935383317567
LL,43,-8.939610690529607
LL,44,-8.943575313835236
LL,45,-8.947690815830878
LL,46,-8.952191063804207
LL,47,-8.957051379270975
LL,48,-8.962186053143684
LL,49,-8.967593615193818
MSE,0,0.9238046192403101
MSE,1,0.9011964328838737
MSE,2,0.7378637383350412
MSE,3,0.7780725346836169
MSE,4,1.1243724402767352
MSE,5,0.7910126397204352
MSE,6,0.84519086973645
MSE,7,0.8315808488310069
MSE,8,0.7371288706388283
MSE,9,1.1539130799362731
