type,index,value
LL,0,-4.077052497744252
LL,1,-4.0744496518924285
LL,2,-4.072029623983913
LL,3,-4.069704357650339
LL,4,-4.06760742826347
LL,5,-4.065788654804291
LL,6,-4.06413299764071
LL,7,-4.062676092200806
LL,8,-4.061395676848202
LL,9,-4.060248538846285
LL,10,-4.059350661209656
LL,11,-4.058644338593799
LL,12,-4.058094498988932
LL,13,-4.057712516959337
LL,14,-4.057496091527998
LL,15,-4.057451128144047
LL,16,-4.057419812810499
LL,17,-4.057708934390186
LL,18,-4.058138787705313
LL,19,-4.058735348278985
LL,20,-4.059472539246903
LL,21,-4.06027530756773
LL,22,-4.061303511320037
LL,23,-4.062465656201778
LL,24,-4.063529859526953
LL,25,-4.064983130565535
LL,26,-4.06654299811139
LL,27,-4.068240388058112
LL,28,-4.0700996651574055
LL,29,-4.072056712967151
LL,30,-4.074199453794581
LL,31,-4.076402693266592
LL,32,-4.0788149542952485
LL,33,-4.081342191485278
LL,34,-4.08397824503257
LL,35,-4.0867063993066
LL,36,-4.089580253187666
LL,37,-4.0925446079896926
LL,38,-4.095670816461106
LL,39,-4.098851622859031
LL,40,-4.102180196804654
LL,41,-4.105632721189659
LL,42,-4.1092030856023705
LL,43,-4.112851691013341
LL,44,-4.116642088757747
LL,45,-4.120513413407497
LL,46,-4.124483206148357
LL,47,-4.128527320888081
LL,48,-4.132692028534604
LL,49,-4.136944382263973
MSE,0,0.46468569623136396
MSE,1,0.4472183710342284
MSE,2,0.8249995318916473
MSE,3,0.6623769656847247
MSE,4,0.5136882223238277
MSE,5,0.3761721003205028
MSE,6,0.4872406955021004
MSE,7,0.6259409755316067
MSE,8,0.1868792182430515
MSE,9,0.5757616467614223
