type,index,value
LL,0,-4.089022962610363
LL,1,-4.085147476319845
LL,2,-4.081397645566351
LL,3,-4.077861626932854
LL,4,-4.074649132629171
LL,5,-4.071431187016751
LL,6,-4.068527542275676
LL,7,-4.065675664002475
LL,8,-4.063126882949963
LL,9,-4.060775298176055
LL,10,-4.058599497259051
LL,11,-4.0565941406852435
LL,12,-4.054756249943385
LL,13,-4.053034704236252
LL,14,-4.051429275548276
LL,15,-4.050118173542226
LL,16,-4.0488481715390465
LL,17,-4.047818058850796
LL,18,-4.046856695449984
LL,19,-4.046083220892653
LL,20,-4.0454032696715405
LL,21,-4.044725200054029
LL,22,-4.044324658645101
LL,23,-4.043946902160067
LL,24,-4.043843476528241
LL,25,-4.0437666205307705
LL,26,-4.043942403639129
LL,27,-4.044193782411087
LL,28,-4.044578687767191
LL,29,-4.0451300404948745
LL,30,-4.045732730758819
LL,31,-4.046183901885624
LL,32,-4.046973104608685
LL,33,-4.047945615808065
LL,34,-4.048902471399062
LL,35,-4.0501526235186045
LL,36,-4.051556572580042
LL,37,-4.053005111608893
LL,38,-4.054428558113006
LL,39,-4.055955284909906
LL,40,-4.057399015342393
LL,41,-4.059074323618535
LL,42,-4.060836850267714
LL,43,-4.062904453721335
LL,44,-4.064666490720027
LL,45,-4.066795890719122
LL,46,-4.069037802014979
LL,47,-4.071279523354987
LL,48,-4.073746090040411
LL,49,-4.076011396700283
MSE,0,0.5571398923488783
MSE,1,0.4978295994661071
MSE,2,0.26251144262792936
MSE,3,0.5857212849935031
MSE,4,0.4568642669546012
MSE,5,0.3540630852710742
MSE,6,0.4123999008207139
MSE,7,0.7985132665141581
MSE,8,0.24596727223929493
MSE,9,0.431354515049249
