type,index,value
LL,0,-17.187828534779847
LL,1,-17.150050595906208
LL,2,-17.114089325831284
LL,3,-17.078161873980935
LL,4,-17.04358839848029
LL,5,-17.009673439401965
LL,6,-16.97724697419406
LL,7,-16.944520295101974
LL,8,-16.913721134778417
LL,9,-16.883421356158234
LL,10,-16.853620497195596
LL,11,-16.825357104972934
LL,12,-16.797059537484394
LL,13,-16.769144701623773
LL,14,-16.742319312195555
LL,15,-16.71608854972937
LL,16,-16.690610342225796
LL,17,-16.666107895245943
LL,18,-16.642611555191053
LL,19,-16.61918196638874
LL,20,-16.596750565277567
LL,21,-16.57466681616406
LL,22,-16.55326570379743
LL,23,-16.532773251053406
LL,24,-16.51183939752908
LL,25,-16.492348904886217
LL,26,-16.472945027010205
LL,27,-16.454598084393588
LL,28,-16.436642514179937
LL,29,-16.418899995055916
LL,30,-16.402152330067256
LL,31,-16.385182041964534
LL,32,-16.36893124420303
LL,33,-16.353814628802937
LL,34,-16.338900936231806
LL,35,-16.324592599322955
LL,36,-16.311342902421533
LL,37,-16.29759993361082
LL,38,-16.284576146297457
LL,39,-16.2715956962792
LL,40,-16.258838575356325
LL,41,-16.247671825777083
LL,42,-16.235731366798152
LL,43,-16.22622496827287
LL,44,-16.214943535268524
LL,45,-16.204263139980956
LL,46,-16.193285036464964
LL,47,-16.18296078207026
LL,48,-16.172702363330522
LL,49,-16.16313989488188
MSE,0,0.8893101954438523
MSE,1,0.7856656609766661
MSE,2,0.7494709106070193
MSE,3,0.7100836212134571
MSE,4,0.8697835809644774
MSE,5,0.7647112285416006
MSE,6,0.8760335440535255
MSE,7,0.828995070041714
MSE,8,0.9115378007262879
MSE,9,0.828587825195882
