type,index,value
LL,0,-9.118020816444217
LL,1,-9.100575827941984
LL,2,-9.084032201784561
LL,3,-9.068035101462684
LL,4,-9.052424307542983
LL,5,-9.037552728945503
LL,6,-9.022812302418945
LL,7,-9.008920009830533
LL,8,-8.995515006693578
LL,9,-8.982623537643834
LL,10,-8.970481750728956
LL,11,-8.958282839410948
LL,12,-8.946831217332154
LL,13,-8.935626578433595
LL,14,-8.92497166061434
LL,15,-8.9151681646559
LL,16,-8.905566029110037
LL,17,-8.896555103571064
LL,18,-8.887943093846136
LL,19,-8.879672485757593
LL,20,-8.87158433972984
LL,21,-8.864101921054147
LL,22,-8.85717033929367
LL,23,-8.850563980225235
LL,24,-8.844381571179945
LL,25,-8.838413420625233
LL,26,-8.832993645300844
LL,27,-8.827748190393516
LL,28,-8.822721864092284
LL,29,-8.817732770263701
LL,30,-8.813332039750053
LL,31,-8.80939753314652
LL,32,-8.805453685739057
LL,33,-8.802220187728768
LL,34,-8.79943833461453
LL,35,-8.796853142777376
LL,36,-8.794776852563215
LL,37,-8.792943068073285
LL,38,-8.790930464216304
LL,39,-8.789350226509434
LL,40,-8.78848019364494
LL,41,-8.787579518632764
LL,42,-8.787129288706232
LL,43,-8.786576292250162
LL,44,-8.786171451226867
LL,45,-8.786340047753137
LL,46,-8.786085984576467
LL,47,-8.786964310992797
LL,48,-8.787786644226566
LL,49,-8.78846372386726
MSE,0,0.7227308162988225
MSE,1,0.8210241556601975
MSE,2,0.6028374883982194
MSE,3,0.6587644639525368
MSE,4,0.9654038389485934
MSE,5,0.5978445877901587
MSE,6,0.6627987416934622
MSE,7,0.7984860605542732
MSE,8,0.604759366227639
MSE,9,0.9985182438043495
