,seed,shift_scale,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
1456,0,0.2,10,1339.5773439407349,0.0005,3,10,1.0,100,central,-15.458762513823606,0.24004128460555263,
1457,0,0.2,10,1339.5773439407349,0.0005,3,10,1.0,100,local,-15.602428068990722,0.7908158277713739,0.757497947687114
1458,0,0.2,10,1339.5773439407349,0.0005,3,10,1.0,100,fl,-15.44625258581215,0.5558508820250202,0.5090140044688021
1520,1,2.0,10,1426.5285811424255,0.0005,3,10,1.0,10,central,-22.30572806708289,1.9054723761154169,
1521,1,2.0,10,1426.5285811424255,0.0005,3,10,1.0,10,local,-47.923447980791224,5.969288066295372,5.68017846949182
1522,1,2.0,10,1426.5285811424255,0.0005,3,10,1.0,10,fl,-18.25648654199468,4.263030038535764,3.836996342673255
1528,1,0.2,10,1343.5326132774353,0.0005,3,10,1.0,100,central,-15.436239514199233,0.2052887358230273,
1529,1,0.2,10,1343.5326132774353,0.0005,3,10,1.0,100,local,-15.591112109356803,0.7477902916199384,0.7232357130255977
1530,1,0.2,10,1343.5326132774353,0.0005,3,10,1.0,100,fl,-15.44356759300356,0.5234247738989148,0.4852079521374087
1536,0,0.2,10,1526.4176986217499,0.0005,3,10,1.0,50,central,-15.465569473348618,0.2431636061416628,
1537,0,0.2,10,1526.4176986217499,0.0005,3,10,1.0,50,local,-16.075402282272915,0.9185486267756284,0.8827544435163428
1538,0,0.2,10,1526.4176986217499,0.0005,3,10,1.0,50,fl,-15.590141549463748,0.6306629108320795,0.5750332484603435
1548,3,1.0,10,1185.774377822876,0.0005,3,10,1.0,10,central,-18.923627012163102,0.9556128207438701,
1549,3,1.0,10,1185.774377822876,0.0005,3,10,1.0,10,local,-51.785361715961656,3.614896956502823,3.4992229761115405
1550,3,1.0,10,1185.774377822876,0.0005,3,10,1.0,10,fl,-17.205598792727635,2.4193054886695493,2.2415643483843
1556,6,1.0,10,1214.5961220264435,0.0005,3,10,1.0,100,central,-18.273333908096923,0.8928860481490505,
1557,6,1.0,10,1214.5961220264435,0.0005,3,10,1.0,100,local,-15.65419238576693,3.026918529777525,2.8970727689419977
1558,6,1.0,10,1214.5961220264435,0.0005,3,10,1.0,100,fl,-16.028330081642686,2.095147237770553,1.8939114199797031
1568,7,1.0,10,1340.6139035224915,0.0005,3,10,1.0,50,central,-18.399751033705307,0.6275161029077,
1569,7,1.0,10,1340.6139035224915,0.0005,3,10,1.0,50,local,-16.083766803835875,3.119433414635225,3.047550599408953
1570,7,1.0,10,1340.6139035224915,0.0005,3,10,1.0,50,fl,-16.120747986265815,2.074283862399182,1.9681718629079286
1580,5,2.0,10,1520.3302011489868,0.0005,3,10,1.0,50,central,-22.342513359584665,2.0936074776571236,
1581,5,2.0,10,1520.3302011489868,0.0005,3,10,1.0,50,local,-16.039757236729464,5.940407950627808,5.596587890973812
1582,5,2.0,10,1520.3302011489868,0.0005,3,10,1.0,50,fl,-17.618434919176845,4.172216473017968,3.6362050716992798
1584,4,2.0,10,1353.6361272335052,0.0005,3,10,1.0,100,central,-22.73187171231279,1.7191694779638773,
1585,4,2.0,10,1353.6361272335052,0.0005,3,10,1.0,100,local,-15.597845900655255,6.159637268049087,5.932759278930356
1586,4,2.0,10,1353.6361272335052,0.0005,3,10,1.0,100,fl,-17.892334626026578,4.192237451027891,3.8622654481354415
1588,4,0.2,10,1278.5719413757324,0.0005,3,10,1.0,10,central,-15.58108323455357,0.382411814467108,
1589,4,0.2,10,1278.5719413757324,0.0005,3,10,1.0,10,local,-80.05293018015746,1.8499694263741013,1.8157110245394992
1590,4,0.2,10,1278.5719413757324,0.0005,3,10,1.0,10,fl,-17.1968929582221,1.2291601411077762,1.174112547255348
1700,6,0.2,10,1200.3584127426147,0.0005,3,10,1.0,25,central,-15.560847362980684,0.422619938943245,
1701,6,0.2,10,1200.3584127426147,0.0005,3,10,1.0,25,local,-17.64255407699018,1.1507921846353757,1.070017693522485
1702,6,0.2,10,1200.3584127426147,0.0005,3,10,1.0,25,fl,-15.948616003164554,0.8184715914853449,0.695515579459512
1724,1,1.0,10,1239.4696238040924,0.0005,3,10,1.0,25,central,-18.190623338562173,1.1479217247463525,
1725,1,1.0,10,1239.4696238040924,0.0005,3,10,1.0,25,local,-17.541044888289488,3.1277637105254246,2.9383123538340117
1726,1,1.0,10,1239.4696238040924,0.0005,3,10,1.0,25,fl,-16.181309914685162,2.2026575616093043,1.913564991939817
1728,8,0.2,10,1478.7359335422516,0.0005,3,10,1.0,10,central,-15.948336601492375,0.4371555280177506,
1729,8,0.2,10,1478.7359335422516,0.0005,3,10,1.0,10,local,-56.368191498274335,1.7851045040488358,1.7340782341263492
1730,8,0.2,10,1478.7359335422516,0.0005,3,10,1.0,10,fl,-18.268619299916953,1.318807050874324,1.2632422713869589
1732,8,2.0,10,1246.4053947925568,0.0005,3,10,1.0,100,central,-23.061123596504366,1.7218364572114313,
1733,8,2.0,10,1246.4053947925568,0.0005,3,10,1.0,100,local,-15.68995622324412,6.510572270308643,6.245629807246179
1734,8,2.0,10,1246.4053947925568,0.0005,3,10,1.0,100,fl,-18.208922343331913,4.390004655533249,4.036094535773719
1736,9,2.0,10,1361.003217458725,0.0005,3,10,1.0,50,central,-22.566409043131323,2.3934692777728346,
1737,9,2.0,10,1361.003217458725,0.0005,3,10,1.0,50,local,-16.01476707763807,6.281294055744134,5.8360365382400605
1738,9,2.0,10,1361.003217458725,0.0005,3,10,1.0,50,fl,-17.9044707766243,4.431376043664975,3.7658069051743497
1744,3,2.0,10,1320.3383276462555,0.0005,3,10,1.0,25,central,-22.955174167057578,1.8187719846585886,
1745,3,2.0,10,1320.3383276462555,0.0005,3,10,1.0,25,local,-17.321817770704175,6.518465977223551,6.252332402358229
1746,3,2.0,10,1320.3383276462555,0.0005,3,10,1.0,25,fl,-18.191253432780528,4.416377209367915,4.0240234566914355
1836,3,0.2,10,1242.0235426425934,0.0005,3,10,1.0,10,central,-15.94294743868405,0.6348631450288262,
1837,3,0.2,10,1242.0235426425934,0.0005,3,10,1.0,10,local,-51.07196313756917,1.8707306024682704,1.7551870211566005
1838,3,0.2,10,1242.0235426425934,0.0005,3,10,1.0,10,fl,-17.74762113254173,1.2923387297766005,1.1317539499472418
1840,3,2.0,10,1397.2674612998962,0.0005,3,10,1.0,100,central,-22.918451895446502,1.822871311966572,
1841,3,2.0,10,1397.2674612998962,0.0005,3,10,1.0,100,local,-15.603881089863865,6.36308949082102,6.098293451203622
1842,3,2.0,10,1397.2674612998962,0.0005,3,10,1.0,100,fl,-18.009820533910975,4.33464821957152,3.9448503305310263
1848,2,2.0,10,1382.4420561790466,0.0005,3,10,1.0,50,central,-23.018030467906254,2.234710115668315,
1849,2,2.0,10,1382.4420561790466,0.0005,3,10,1.0,50,local,-16.002083585156488,6.548208440242211,6.12335849048854
1850,2,2.0,10,1382.4420561790466,0.0005,3,10,1.0,50,fl,-17.99241064913994,4.599250965304398,3.9802148506779913
1856,8,2.0,10,1288.2653336524963,0.0005,3,10,1.0,25,central,-23.091526462668202,1.7010925775246974,
1857,8,2.0,10,1288.2653336524963,0.0005,3,10,1.0,25,local,-17.584945391285657,6.5012668269290375,6.221657379511983
1858,8,2.0,10,1288.2653336524963,0.0005,3,10,1.0,25,fl,-18.170238961064978,4.423987030120505,4.035557794189858
1860,0,1.0,10,1490.1150085926056,0.0005,3,10,1.0,50,central,-18.436319595314714,0.9443474256821176,
1861,0,1.0,10,1490.1150085926056,0.0005,3,10,1.0,50,local,-16.075402282272908,3.130315999456246,2.9955063441386582
1862,0,1.0,10,1490.1150085926056,0.0005,3,10,1.0,50,fl,-16.155506166871042,2.1348840078539864,1.9277978040690773
1872,1,1.0,10,1343.043939590454,0.0005,3,10,1.0,100,central,-18.136719460880443,0.9510956728881635,
1873,1,1.0,10,1343.043939590454,0.0005,3,10,1.0,100,local,-15.5911121093568,2.895392672254623,2.7445936267097757
1874,1,1.0,10,1343.043939590454,0.0005,3,10,1.0,100,fl,-15.971375654893766,2.0038648265526606,1.7733292104387552
1884,4,1.0,10,1340.3207559585571,0.0005,3,10,1.0,10,central,-18.54976871327558,0.9302820732354404,
1885,4,1.0,10,1340.3207559585571,0.0005,3,10,1.0,10,local,-79.27182447137656,3.4684324728747655,3.3552789175077082
1886,4,1.0,10,1340.3207559585571,0.0005,3,10,1.0,10,fl,-17.739449599201986,2.471942073732393,2.342777715899081
1896,7,0.2,10,1378.0849108695984,0.0005,3,10,1.0,50,central,-15.48922877845774,0.23082458563637118,
1897,7,0.2,10,1378.0849108695984,0.0005,3,10,1.0,50,local,-16.083766803835882,0.9909950359835167,0.9628054337650628
1898,7,0.2,10,1378.0849108695984,0.0005,3,10,1.0,50,fl,-15.59531231384529,0.6668952559891262,0.6217421290601457
1900,6,0.2,10,1117.4890084266663,0.0005,3,10,1.0,100,central,-15.482286668484145,0.2527006852493942,
1901,6,0.2,10,1117.4890084266663,0.0005,3,10,1.0,100,local,-15.654192385766928,0.7871739478070184,0.7488022446525863
1902,6,0.2,10,1117.4890084266663,0.0005,3,10,1.0,100,fl,-15.49365668625089,0.5619950589332221,0.5041917695239736
1908,6,2.0,10,1511.8073942661285,0.0005,3,10,1.0,10,central,-22.450229543484504,1.8477416770865858,
1909,6,2.0,10,1511.8073942661285,0.0005,3,10,1.0,10,local,-38.170668806287594,6.383572237866863,6.136542194367256
1910,6,2.0,10,1511.8073942661285,0.0005,3,10,1.0,10,fl,-19.051020869455606,4.448839274276156,4.080465996403571
2012,4,2.0,10,1497.1911301612854,0.0005,3,10,1.0,25,central,-22.767063244972945,1.6390206756819248,
2013,4,2.0,10,1497.1911301612854,0.0005,3,10,1.0,25,local,-17.57592242277681,6.161286205397142,5.948416786288508
2014,4,2.0,10,1497.1911301612854,0.0005,3,10,1.0,25,fl,-18.05597448545041,4.202653395486825,3.866458695373415
2028,6,1.0,10,1202.9351511001587,0.0005,3,10,1.0,25,central,-18.320263436547684,0.9620191975006392,
2029,6,1.0,10,1202.9351511001587,0.0005,3,10,1.0,25,local,-17.642554076990216,3.10649442574853,2.9529562940526413
2030,6,1.0,10,1202.9351511001587,0.0005,3,10,1.0,25,fl,-16.308311601468215,2.162242823204184,1.9156564682055162
2040,8,1.0,10,1426.6956644058228,0.0005,3,10,1.0,10,central,-18.91637854455151,0.817824347522044,
2041,8,1.0,10,1426.6956644058228,0.0005,3,10,1.0,10,local,-59.2820716367881,3.505997946763055,3.384270306483456
2042,8,1.0,10,1426.6956644058228,0.0005,3,10,1.0,10,fl,-17.232365294223364,2.3249048002691097,2.1561948008504883
2044,1,0.2,10,1242.528508901596,0.0005,3,10,1.0,25,central,-15.520146004884348,0.43830874022608873,
2045,1,0.2,10,1242.528508901596,0.0005,3,10,1.0,25,local,-17.541044888289477,1.2305365999953417,1.1534355087849604
2046,1,0.2,10,1242.528508901596,0.0005,3,10,1.0,25,fl,-15.964827555526721,0.8628998978541821,0.7473639546686996
2152,0,0.2,10,1359.1773571968079,0.0005,3,10,1.0,25,central,-15.552452055917797,0.3291305070537067,
2153,0,0.2,10,1359.1773571968079,0.0005,3,10,1.0,25,local,-17.93946987143475,1.2330957200370871,1.1836038558399835
2154,0,0.2,10,1359.1773571968079,0.0005,3,10,1.0,25,fl,-16.026962041751947,0.8347288421870195,0.7664209753113241
2156,9,1.0,10,1320.1365249156952,0.0005,3,10,1.0,10,central,-18.594718823490876,1.393569819787161,
2157,9,1.0,10,1320.1365249156952,0.0005,3,10,1.0,10,local,-52.242600269256705,3.5341094926502037,3.287884096535489
2158,9,1.0,10,1320.1365249156952,0.0005,3,10,1.0,10,fl,-17.004608516169444,2.5045566123924394,2.1191878432054074
2164,7,1.0,10,1302.6008327007294,0.0005,3,10,1.0,25,central,-18.455181733450814,0.7665538924489343,
2165,7,1.0,10,1302.6008327007294,0.0005,3,10,1.0,25,local,-17.508800607192093,3.1808666023329972,3.098361758239595
2166,7,1.0,10,1302.6008327007294,0.0005,3,10,1.0,25,fl,-16.284702821908233,2.133169611717523,1.9934505101236784
2176,5,2.0,10,1344.2121641635895,0.0005,3,10,1.0,25,central,-22.358931058852242,2.217179291591438,
2177,5,2.0,10,1344.2121641635895,0.0005,3,10,1.0,25,local,-18.20663105344547,6.085615102936012,5.677492462417623
2178,5,2.0,10,1344.2121641635895,0.0005,3,10,1.0,25,fl,-17.760199604640142,4.296458101483636,3.6685013558602093
2284,7,0.2,10,1250.5411915779114,0.0005,3,10,1.0,100,central,-15.480488931579004,0.21086167531240263,
2285,7,0.2,10,1250.5411915779114,0.0005,3,10,1.0,100,local,-15.676613230024008,0.8234634910510881,0.798804962172586
2286,7,0.2,10,1250.5411915779114,0.0005,3,10,1.0,100,fl,-15.487876581171145,0.5727946301889228,0.5384061678948199
2292,7,2.0,10,1481.4078469276428,0.0005,3,10,1.0,10,central,-22.763192421862907,1.413848792349362,
2293,7,2.0,10,1481.4078469276428,0.0005,3,10,1.0,10,local,-42.9790330727695,6.186123347476355,6.0435128409836025
2294,7,2.0,10,1481.4078469276428,0.0005,3,10,1.0,10,fl,-20.781659498631377,4.7232047498941405,4.552826878611556
2300,6,0.2,10,1208.0600814819336,0.0005,3,10,1.0,50,central,-15.48565176389348,0.3737485740840894,
2301,6,0.2,10,1208.0600814819336,0.0005,3,10,1.0,50,local,-16.04335937842923,1.0448244767942496,0.9726371304485228
2302,6,0.2,10,1208.0600814819336,0.0005,3,10,1.0,50,fl,-15.602072754570262,0.7449150284256849,0.6406287012857182
2320,5,1.0,10,1151.794648885727,0.0005,3,10,1.0,10,central,-18.42165605895314,1.0489054825845336,
2321,5,1.0,10,1151.794648885727,0.0005,3,10,1.0,10,local,-102.53479799078245,3.5389106508851427,3.372087100106957
2322,5,1.0,10,1151.794648885727,0.0005,3,10,1.0,10,fl,-16.84482197079286,2.419035707846469,2.164138252939013
2328,0,1.0,10,1275.7246561050415,0.0005,3,10,1.0,100,central,-18.427983349391944,0.92550450601731,
2329,0,1.0,10,1275.7246561050415,0.0005,3,10,1.0,100,local,-15.602428068990728,3.097990716018992,2.97815471072997
2330,0,1.0,10,1275.7246561050415,0.0005,3,10,1.0,100,fl,-16.055551375346035,2.130565477185386,1.9450999058332137
2332,1,1.0,10,1259.028784751892,0.0005,3,10,1.0,50,central,-18.18673102864604,1.0900903291279829,
2333,1,1.0,10,1259.028784751892,0.0005,3,10,1.0,50,local,-16.186121067452014,2.9695141881332394,2.7692018554024065
2334,1,1.0,10,1259.028784751892,0.0005,3,10,1.0,50,fl,-16.079817702694086,2.095331501987234,1.8024800433784656
2340,3,2.0,10,1235.8585932254791,0.0005,3,10,1.0,50,central,-22.9443950700554,1.8083029074083743,
2341,3,2.0,10,1235.8585932254791,0.0005,3,10,1.0,50,local,-16.101516851003215,6.351983785267318,6.0906159349369515
2342,3,2.0,10,1235.8585932254791,0.0005,3,10,1.0,50,fl,-18.057479473848602,4.311969965450496,3.923542884434192
2348,9,2.0,10,1198.7167310714722,0.0005,3,10,1.0,25,central,-22.599129299597905,2.369452567856569,
2349,9,2.0,10,1198.7167310714722,0.0005,3,10,1.0,25,local,-18.23253903066975,6.2760745475272515,5.845250023677441
2350,9,2.0,10,1198.7167310714722,0.0005,3,10,1.0,25,fl,-17.924293259527904,4.424375725574535,3.783522827772174
2352,2,0.2,10,1230.2025151252747,0.0005,3,10,1.0,10,central,-15.678608401867658,0.45981229620458947,
2353,2,0.2,10,1230.2025151252747,0.0005,3,10,1.0,10,local,-51.56447343809729,1.8616853991511833,1.8191367866292398
2354,2,0.2,10,1230.2025151252747,0.0005,3,10,1.0,10,fl,-17.28767736464287,1.255290801412892,1.174133287286308
2356,2,2.0,10,1286.0638473033905,0.0005,3,10,1.0,100,central,-22.98872837709863,2.2699529885367435,
2357,2,2.0,10,1286.0638473033905,0.0005,3,10,1.0,100,local,-15.600128123960497,6.592290052703277,6.149846571325997
2358,2,2.0,10,1286.0638473033905,0.0005,3,10,1.0,100,fl,-17.94245359086581,4.637237941671859,4.0026926906727205
