,seed,shift_scale,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
201,9,0.2,10,1362.1778326034546,0.0005,3,10,1.0,50,local,-16.014767077638062,0.9594015832522791,0.8990583261747396
202,9,0.2,10,1362.1778326034546,0.0005,3,10,1.0,50,fl,-15.624853949562787,0.6855471633588441,0.5955084548863825
204,8,0.2,10,1230.2208092212677,0.0005,3,10,1.0,100,central,-15.534360456568786,0.2116199843850576,
205,8,0.2,10,1230.2208092212677,0.0005,3,10,1.0,100,local,-15.689956223244124,0.8396192446145344,0.816029256416037
206,8,0.2,10,1230.2208092212677,0.0005,3,10,1.0,100,fl,-15.527336258486963,0.5790113253317279,0.5468364851309339
208,8,2.0,10,1383.042109489441,0.0005,3,10,1.0,10,central,-23.168796771682526,1.5974452487674122,
209,8,2.0,10,1383.042109489441,0.0005,3,10,1.0,10,local,-63.50469662983774,6.537989574037498,6.280145996074333
210,8,2.0,10,1383.042109489441,0.0005,3,10,1.0,10,fl,-19.799588184348384,4.579968127479658,4.290546382103452
220,4,1.0,10,1264.7544374465942,0.0005,3,10,1.0,25,central,-18.528251349553948,0.8300818004762505,
221,4,1.0,10,1264.7544374465942,0.0005,3,10,1.0,25,local,-17.575922422776767,3.2153125078907783,3.106921569227961
222,4,1.0,10,1264.7544374465942,0.0005,3,10,1.0,25,fl,-16.3646007241733,2.185222914222542,2.0153967789619536
232,6,2.0,10,1268.918185710907,0.0005,3,10,1.0,25,central,-22.374015158007936,1.8137947751755068,
233,6,2.0,10,1268.918185710907,0.0005,3,10,1.0,25,local,-17.642554076990187,6.007660409067709,5.733463111240956
234,6,2.0,10,1268.918185710907,0.0005,3,10,1.0,25,fl,-17.884121383117893,4.1580186746215695,3.7231231978719017
352,7,2.0,10,1444.5010788440704,0.0005,3,10,1.0,25,central,-22.680227346837047,1.331985362931693,
353,7,2.0,10,1444.5010788440704,0.0005,3,10,1.0,25,local,-17.5088006071921,6.0705899858535854,5.937278602413606
354,7,2.0,10,1444.5010788440704,0.0005,3,10,1.0,25,fl,-17.937942368283725,4.048676953060221,3.8268202138103375
368,5,1.0,10,1265.2711980342865,0.0005,3,10,1.0,25,central,-18.265999882674624,1.1801831269772152,
369,5,1.0,10,1265.2711980342865,0.0005,3,10,1.0,25,local,-18.206631053445488,3.218028628407398,2.9945193758997415
370,5,1.0,10,1265.2711980342865,0.0005,3,10,1.0,25,fl,-16.268950425998774,2.2748772118805003,1.9339662653774112
380,9,0.2,10,1359.8661289215088,0.0005,3,10,1.0,100,central,-15.50054537064425,0.38963359861233343,
381,9,0.2,10,1359.8661289215088,0.0005,3,10,1.0,100,local,-15.64136081734867,0.8848155863382028,0.8071677031756274
382,9,0.2,10,1359.8661289215088,0.0005,3,10,1.0,100,fl,-15.479926160469788,0.6499064988916048,0.526343726409385
384,9,2.0,10,1335.1197926998138,0.0005,3,10,1.0,10,central,-22.673174394977767,2.552671940762035,
385,9,2.0,10,1335.1197926998138,0.0005,3,10,1.0,10,local,-52.3435860043543,6.434713668879892,5.976234050757276
386,9,2.0,10,1335.1197926998138,0.0005,3,10,1.0,10,fl,-18.705665086165737,4.679023700408427,4.002051553342189
388,2,0.2,10,1385.993444442749,0.0005,3,10,1.0,25,central,-15.57835409584506,0.4343535620467797,
389,2,0.2,10,1385.993444442749,0.0005,3,10,1.0,25,local,-17.226748295597083,1.179127704281788,1.0894616511261743
390,2,0.2,10,1385.993444442749,0.0005,3,10,1.0,25,fl,-15.919213116619906,0.8387092482958524,0.7124297169217597
392,8,0.2,10,1285.7595410346985,0.0005,3,10,1.0,50,central,-15.548479033836733,0.35955879989646067,
393,8,0.2,10,1285.7595410346985,0.0005,3,10,1.0,50,local,-16.126054928534217,1.0096414927759922,0.9339197950946589
394,8,0.2,10,1285.7595410346985,0.0005,3,10,1.0,50,fl,-15.648260556800011,0.7098242461432324,0.605323482393666
480,0,2.0,10,1136.2025196552277,0.0005,3,10,1.0,100,central,-22.689626958646624,1.8348654998095615,
481,0,2.0,10,1136.2025196552277,0.0005,3,10,1.0,100,local,-15.602428068990724,6.1540608276024145,5.916185685556191
