,n_clients,D,seed,N,alpha,lambda,lr,K,runtime_sec,algorithm,Log-likelihood,NMI,AMI
1053,10,10,5,100,10.0,1,0.0005,10,929.9238746166229,local,-288.63024139404297,0.689446803540045,0.6888653831686788
1054,10,10,5,100,10.0,1,0.0005,10,929.9238746166229,fl,-15.748348045349122,0.7376776711022344,0.737235469349618
1060,10,10,9,200,0.2,1,0.0005,10,2366.043404340744,central,15.281385707855225,0.7425792483482754,0.7421208442660907
1061,10,10,9,200,0.2,1,0.0005,10,2366.043404340744,local,-159.70135316848754,0.5518920986288309,0.5510294314982753
1062,10,10,9,200,0.2,1,0.0005,10,2366.043404340744,fl,-2.9561741948127747,0.6557495487168599,0.655204597877711
1064,10,10,7,100,1.0,1,0.0005,10,2144.527088880539,central,15.681639862060546,0.7788970978871494,0.7785033265454627
1065,10,10,7,100,1.0,1,0.0005,10,2144.527088880539,local,-408.54082946777345,0.6290033786196499,0.6283116605561386
1066,10,10,7,100,1.0,1,0.0005,10,2144.527088880539,fl,-4.983804079890251,0.6718247415489065,0.6712308558337847
1096,10,10,7,50,1.0,1,0.0005,10,2289.410310268402,central,14.10107250213623,0.7563918516313622,0.7559562839008862
1097,10,10,7,50,1.0,1,0.0005,10,2289.410310268402,local,-8791.472314453125,0.5300135154338944,0.5290642702081311
1098,10,10,7,50,1.0,1,0.0005,10,2289.410310268402,fl,-12.190513384342193,0.44401044321012295,0.4427529028123719
1112,10,10,4,200,10.0,1,0.0005,10,2267.3725578784943,central,15.873783302307128,0.7787542457619192,0.7783583161672241
1113,10,10,4,200,10.0,1,0.0005,10,2267.3725578784943,local,-0.8439687132835388,0.734719292828652,0.7342408301432722
1114,10,10,4,200,10.0,1,0.0005,10,2267.3725578784943,fl,-11.67252733707428,0.7687746408450269,0.7683927142273796
1124,10,10,0,50,0.2,1,0.0005,10,2498.2401175498962,central,14.965481758117676,0.7372503134896489,0.7367786951563767
1125,10,10,0,50,0.2,1,0.0005,10,2498.2401175498962,local,-11877.888403320312,0.41725900062431326,0.416070580268644
1126,10,10,0,50,0.2,1,0.0005,10,2498.2401175498962,fl,-1.9524410486221313,0.35867232642864877,0.3571516774020461
1140,10,10,0,100,0.2,1,0.0005,10,2485.731304168701,central,16.02841634750366,0.7326586487185079,0.732180581502033
