,seed,D,runtime_sec,lr,K,n_clients,lambda,N,alpha,algorithm,Log-likelihood,err_true,err_central
132,3,10,1467.8682940006256,0.0005,3,10,1,50,10.0,central,-15.262999469934769,0.30490366457006246,
133,3,10,1467.8682940006256,0.0005,3,10,1,50,10.0,local,-16.012355849708335,0.7754183445079794,0.7076679875953393
134,3,10,1467.8682940006256,0.0005,3,10,1,50,10.0,fl,-15.503401721309038,0.5498810432654596,0.45591094930265824
160,5,10,1144.3286173343658,0.0005,3,10,1,10,10.0,central,-15.679805443712917,0.5671913099036027,
161,5,10,1144.3286173343658,0.0005,3,10,1,10,10.0,local,-106.72062568041683,1.6391933523314344,1.5424898967919327
162,5,10,1144.3286173343658,0.0005,3,10,1,10,10.0,fl,-18.363019871141304,1.3266374094837268,1.1924039925809347
204,4,10,1314.7182836532593,0.0005,3,10,1,10,10.0,central,-15.551696675597046,0.47196746044513566,
205,4,10,1314.7182836532593,0.0005,3,10,1,10,10.0,local,-80.93846486546798,1.7437285786810708,1.6790717009521319
206,4,10,1314.7182836532593,0.0005,3,10,1,10,10.0,fl,-18.814239748229557,1.6262908112757064,1.5132029798449764
220,1,10,1180.8051071166992,0.0005,3,10,1,25,0.2,central,-15.357678493976106,0.33443592072095507,
221,1,10,1180.8051071166992,0.0005,3,10,1,25,0.2,local,-24.70184281597862,10.286520384039537,10.286329062877837
222,1,10,1180.8051071166992,0.0005,3,10,1,25,0.2,fl,-16.477335869631343,8.297957970922724,8.288828513228449
224,2,10,1326.4739391803741,0.0005,3,10,1,50,10.0,central,-15.313820214134267,0.21644868814314874,
225,2,10,1326.4739391803741,0.0005,3,10,1,50,10.0,local,-16.16750657812643,0.7985392849354811,0.7628455131370362
226,2,10,1326.4739391803741,0.0005,3,10,1,50,10.0,fl,-15.59854156200762,0.5382384015407503,0.4867406542266493
244,9,10,1267.5590295791626,0.0005,3,10,1,50,0.2,central,-15.310639189921332,0.23479964294813951,
245,9,10,1267.5590295791626,0.0005,3,10,1,50,0.2,local,-18.30546076667209,8.886617117220153,8.83929717878623
246,9,10,1267.5590295791626,0.0005,3,10,1,50,0.2,fl,-16.610908805254244,7.517301428395873,7.460234684667922
248,8,10,1531.6552805900574,0.0005,3,10,1,10,1.0,central,-15.6631232897718,0.5487011528023794,
249,8,10,1531.6552805900574,0.0005,3,10,1,10,1.0,local,-79.06219915922232,5.011944620703108,4.959962014999146
250,8,10,1531.6552805900574,0.0005,3,10,1,10,1.0,fl,-21.492956856523232,5.301981543189226,5.291141444056948
264,6,10,1240.7594571113586,0.0005,3,10,1,25,1.0,central,-15.28732205991265,0.3696270112942152,
265,6,10,1240.7594571113586,0.0005,3,10,1,25,1.0,local,-30.748801883195057,3.0150366727392015,2.9539820572511486
266,6,10,1240.7594571113586,0.0005,3,10,1,25,1.0,fl,-20.055868123534978,4.365483048879367,4.368137729525551
268,9,10,1307.3979613780975,0.0005,3,10,1,100,0.2,central,-15.23954797034892,0.17537361937361692,
269,9,10,1307.3979613780975,0.0005,3,10,1,100,0.2,local,-16.060826912062915,7.930440652132896,7.928289463900235
270,9,10,1307.3979613780975,0.0005,3,10,1,100,0.2,fl,-15.526879366569556,6.54951560920473,6.5500666321916965
288,0,10,1432.123990058899,0.0005,3,10,1,100,10.0,central,-15.176419603108542,0.2497368319815799,
289,0,10,1432.123990058899,0.0005,3,10,1,100,10.0,local,-15.481945668397689,0.5489755330227865,0.48839177335683015
290,0,10,1432.123990058899,0.0005,3,10,1,100,10.0,fl,-15.314407022144755,0.4069083477799884,0.32068410723274104
292,2,10,1346.2517297267914,0.0005,3,10,1,100,1.0,central,-15.313664583918367,0.1697865362556632,
293,2,10,1346.2517297267914,0.0005,3,10,1,100,1.0,local,-16.170922513521763,3.0858658354609263,3.0623100770483282
294,2,10,1346.2517297267914,0.0005,3,10,1,100,1.0,fl,-16.054684920518486,1.687154194924426,1.6442668789490789
296,1,10,1148.2573981285095,0.0005,3,10,1,25,10.0,central,-15.34329430342109,0.3145675438788113,
297,1,10,1148.2573981285095,0.0005,3,10,1,25,10.0,local,-17.71246115647034,1.0475832517626125,0.998272140983594
298,1,10,1148.2573981285095,0.0005,3,10,1,25,10.0,fl,-15.893319171694733,0.709073291624102,0.6389092183507142
316,8,10,1538.2654159069061,0.0005,3,10,1,10,10.0,central,-15.478831114187955,0.37880627086631496,
