,seed,D,runtime_sec,lr,K,n_clients,lambda,N,alpha,algorithm,Log-likelihood,err_true,err_central
928,1,10,1433.3718130588531,0.0005,3,10,1,100,0.2,central,-15.27437285097391,0.21486660344260333,
929,1,10,1433.3718130588531,0.0005,3,10,1,100,0.2,local,-16.801021652644206,7.322150693908512,7.303031049077707
930,1,10,1433.3718130588531,0.0005,3,10,1,100,0.2,fl,-15.810935007318957,6.8508547358386505,6.838095543260389
936,0,10,1299.586735010147,0.0005,3,10,1,10,1.0,central,-15.355185715478688,0.49201900794513725,
937,0,10,1299.586735010147,0.0005,3,10,1,10,1.0,local,-53.186414509320414,3.953062164471924,3.885367565960917
938,0,10,1299.586735010147,0.0005,3,10,1,10,1.0,fl,-20.381830387588046,4.609273008315879,4.48008595169486
940,1,10,1410.684739112854,0.0005,3,10,1,50,0.2,central,-15.307580335916304,0.2357329515473842,
941,1,10,1410.684739112854,0.0005,3,10,1,50,0.2,local,-16.56167680728634,10.14339274296191,10.120052524280634
942,1,10,1410.684739112854,0.0005,3,10,1,50,0.2,fl,-16.411418096423084,7.271615294738188,7.2265848138962765
964,6,10,1393.7575361728668,0.0005,3,10,1,50,1.0,central,-15.226791628154757,0.2168177351313938,
965,6,10,1393.7575361728668,0.0005,3,10,1,50,1.0,local,-21.24019557302293,2.817587991195726,2.790501521691405
966,6,10,1393.7575361728668,0.0005,3,10,1,50,1.0,fl,-17.404050705552166,3.454435669696081,3.4394412858806533
968,7,10,1348.4173316955566,0.0005,3,10,1,10,0.2,central,-15.521454956976825,0.6484657414952575,
969,7,10,1348.4173316955566,0.0005,3,10,1,10,0.2,local,-69.09327852592217,12.52942645912499,12.50000291061353
970,7,10,1348.4173316955566,0.0005,3,10,1,10,0.2,fl,-20.918542269868404,11.327474757059012,11.287790944148806
972,9,10,1374.1199734210968,0.0005,3,10,1,25,0.2,central,-15.40233724779697,0.38540572964612213,
973,9,10,1374.1199734210968,0.0005,3,10,1,25,0.2,local,-25.528539989107276,9.007549165562063,8.942572295163796
974,9,10,1374.1199734210968,0.0005,3,10,1,25,0.2,fl,-18.679791179301635,8.71344942261814,8.637434904355102
984,5,10,1221.337718486786,0.0005,3,10,1,25,10.0,central,-15.367867045147435,0.2888329036081456,
985,5,10,1221.337718486786,0.0005,3,10,1,25,10.0,local,-17.792327899333692,1.0723897592390823,1.030896591154604
986,5,10,1221.337718486786,0.0005,3,10,1,25,10.0,fl,-15.92568634584751,0.7297766815627569,0.6666305102959735
988,6,10,1176.1585445404053,0.0005,3,10,1,100,1.0,central,-15.212996334708398,0.15309912581857157,
989,6,10,1176.1585445404053,0.0005,3,10,1,100,1.0,local,-16.009945873037335,2.5709140398449386,2.5461754380093984
990,6,10,1176.1585445404053,0.0005,3,10,1,100,1.0,fl,-16.26830716948931,1.2116713596756064,1.1832442949294772
992,4,10,1353.302175283432,0.0005,3,10,1,100,10.0,central,-15.31023771158788,0.22641119472317803,
993,4,10,1353.302175283432,0.0005,3,10,1,100,10.0,local,-15.582545439381514,0.51555918336057,0.4617292721041233
994,4,10,1353.302175283432,0.0005,3,10,1,100,10.0,fl,-15.421625962574524,0.373509651438347,0.3054807101977749
1008,2,10,1345.110233783722,0.0005,3,10,1,25,1.0,central,-15.38077172812035,0.27982828410048594,
1009,2,10,1345.110233783722,0.0005,3,10,1,25,1.0,local,-25.776203466259933,2.7835888947877527,2.7545582627320195
1010,2,10,1345.110233783722,0.0005,3,10,1,25,1.0,fl,-18.010253388211698,2.9852875249723403,2.9672173114377527
1040,5,10,1213.3679156303406,0.0005,3,10,1,25,0.2,central,-15.374730512439573,0.26377980526443606,
1041,5,10,1213.3679156303406,0.0005,3,10,1,25,0.2,local,-27.825339356656364,9.616711566586504,9.573081709908658
1042,5,10,1213.3679156303406,0.0005,3,10,1,25,0.2,fl,-17.63569967615703,7.3046957792287035,7.26409081424225
1044,6,10,1445.6291699409485,0.0005,3,10,1,50,10.0,central,-15.243629825691752,0.30805322329660334,
1045,6,10,1445.6291699409485,0.0005,3,10,1,50,10.0,local,-16.085086621316524,0.7929167361349054,0.7276720390669904
1046,6,10,1445.6291699409485,0.0005,3,10,1,50,10.0,fl,-15.530102582688368,0.5565971909185625,0.46310622583101024
1056,0,10,1289.9635572433472,0.0005,3,10,1,10,10.0,central,-15.526776276801138,0.5922125496847644,
1057,0,10,1289.9635572433472,0.0005,3,10,1,10,10.0,local,-58.05541023096663,1.7747846875539888,1.6612805442234737
1058,0,10,1289.9635572433472,0.0005,3,10,1,10,10.0,fl,-17.72543294188408,1.4254918818327806,1.2651674508971134
1072,9,10,1381.783369064331,0.0005,3,10,1,25,10.0,central,-15.373264059624129,0.37927707132246474,
1073,9,10,1381.783369064331,0.0005,3,10,1,25,10.0,local,-17.73484388780267,1.05118753154685,0.9795636699526001
1074,9,10,1381.783369064331,0.0005,3,10,1,25,10.0,fl,-15.925073050277351,0.7353662915844594,0.6270193870786887
1080,8,10,1339.803686618805,0.0005,3,10,1,100,10.0,central,-15.374021644311242,0.16608363421926078,
1081,8,10,1339.803686618805,0.0005,3,10,1,100,10.0,local,-15.682078846646371,0.504491020467571,0.47645621441391073
1082,8,10,1339.803686618805,0.0005,3,10,1,100,10.0,fl,-15.508577386204218,0.3585843050111365,0.31484661132114655
1088,3,10,1282.5421557426453,0.0005,3,10,1,100,10.0,central,-15.244507971281797,0.2763963713854937,
1089,3,10,1282.5421557426453,0.0005,3,10,1,100,10.0,local,-15.576070052141478,0.5913282775527208,0.5233853000525818
1090,3,10,1282.5421557426453,0.0005,3,10,1,100,10.0,fl,-15.380654114899666,0.43909324299374697,0.3471118510798706
1096,1,10,1406.7532024383545,0.0005,3,10,1,100,1.0,central,-15.285646242263379,0.24984420746244043,
1097,1,10,1406.7532024383545,0.0005,3,10,1,100,1.0,local,-16.091289152297275,1.869676706347033,1.8105615474147316
1098,1,10,1406.7532024383545,0.0005,3,10,1,100,1.0,fl,-16.409006366258403,4.243331586328677,4.167546199292109
1108,2,10,1354.431025505066,0.0005,3,10,1,25,10.0,central,-15.40424349552329,0.33426433388893567,
1109,2,10,1354.431025505066,0.0005,3,10,1,25,10.0,local,-17.584569772980604,1.1412998244293842,1.0861356869778063
1110,2,10,1354.431025505066,0.0005,3,10,1,25,10.0,fl,-15.964254257650301,0.7721449181666857,0.694520285703965
1136,0,10,1343.808494567871,0.0005,3,10,1,10,0.2,central,-15.521582349757043,0.5226838178275479,
1137,0,10,1343.808494567871,0.0005,3,10,1,10,0.2,local,-38.36053621671669,8.344217944033854,8.342728776016074
1138,0,10,1343.808494567871,0.0005,3,10,1,10,0.2,fl,-20.339268312350022,7.810712559061633,7.817309642014064
1140,1,10,1347.558732509613,0.0005,3,10,1,50,1.0,central,-15.297152788837767,0.29681644915155525,
1141,1,10,1347.558732509613,0.0005,3,10,1,50,1.0,local,-17.140831719116726,3.370305186081243,3.302014565733976
1142,1,10,1347.558732509613,0.0005,3,10,1,50,1.0,fl,-16.352343536654644,2.5997818961167156,2.5166354396124224
1148,9,10,1367.2041668891907,0.0005,3,10,1,25,1.0,central,-15.337366008665409,0.3646201067785945,
1149,9,10,1367.2041668891907,0.0005,3,10,1,25,1.0,local,-26.37908102808681,2.937016652145514,2.885206140404997
1150,9,10,1367.2041668891907,0.0005,3,10,1,25,1.0,fl,-17.581542089305778,2.677037253845784,2.6966407975688624
1152,6,10,1428.0559251308441,0.0005,3,10,1,50,0.2,central,-15.209258479130028,0.24147475004455268,
1153,6,10,1428.0559251308441,0.0005,3,10,1,50,0.2,local,-17.399175318708114,10.866336127438657,10.802224167070388
1154,6,10,1428.0559251308441,0.0005,3,10,1,50,0.2,fl,-15.829754638086204,8.252312331634696,8.183808223803034
1156,7,10,1304.4106879234314,0.0005,3,10,1,10,1.0,central,-15.539204361232214,0.5603480104677737,
1157,7,10,1304.4106879234314,0.0005,3,10,1,10,1.0,local,-71.51217196273413,5.711701836737129,5.617240802579091
1158,7,10,1304.4106879234314,0.0005,3,10,1,10,1.0,fl,-23.11072897407596,6.330418858453237,6.2065861231778126
1172,6,10,1203.8386430740356,0.0005,3,10,1,100,0.2,central,-15.172707154169808,0.1764147587728044,
1173,6,10,1203.8386430740356,0.0005,3,10,1,100,0.2,local,-15.863877000091005,9.729062079079537,9.726021206412442
1174,6,10,1203.8386430740356,0.0005,3,10,1,100,0.2,fl,-15.762130214229057,7.601318846266639,7.585605601851708
1200,7,10,1319.6421658992767,0.0005,3,10,1,10,10.0,central,-15.506543697508244,0.576730394846877,
1201,7,10,1319.6421658992767,0.0005,3,10,1,10,10.0,local,-76.2928753011852,1.8233039826072883,1.7294788705437312
1202,7,10,1319.6421658992767,0.0005,3,10,1,10,10.0,fl,-17.506495098712115,1.2276331571818726,1.083206860846356
1224,2,10,1210.9185273647308,0.0005,3,10,1,25,0.2,central,-15.409375762147343,0.24715957970601132,
1225,2,10,1210.9185273647308,0.0005,3,10,1,25,0.2,local,-20.643455888148683,8.506533401384813,8.512745536735775
1226,2,10,1210.9185273647308,0.0005,3,10,1,25,0.2,fl,-16.952948957828376,6.823343469351718,6.8437387238250835
1228,1,10,1484.8556628227234,0.0005,3,10,1,50,10.0,central,-15.29269480289442,0.261667016990533,
1229,1,10,1484.8556628227234,0.0005,3,10,1,50,10.0,local,-16.076218082528925,0.7512360955670468,0.7096591155317222
1230,1,10,1484.8556628227234,0.0005,3,10,1,50,10.0,fl,-15.5550359892682,0.5269167987215758,0.4634830131952203
1236,5,10,1238.7932603359222,0.0005,3,10,1,25,1.0,central,-15.376892513682378,0.29533936541228273,
1237,5,10,1238.7932603359222,0.0005,3,10,1,25,1.0,local,-28.132603755900682,2.9530529046617664,2.911473841751426
1238,5,10,1238.7932603359222,0.0005,3,10,1,25,1.0,fl,-18.618546038852408,3.1244411766376756,3.0676546802071876
1276,4,10,1301.4358460903168,0.0005,3,10,1,25,1.0,central,-15.322839816958432,0.2915284146196296,
1277,4,10,1301.4358460903168,0.0005,3,10,1,25,1.0,local,-34.65954579068453,3.139452742886997,3.1126086733620766
1278,4,10,1301.4358460903168,0.0005,3,10,1,25,1.0,fl,-17.234264425101593,3.0387463851778387,3.0502956979855353
1308,3,10,1315.0973708629608,0.0005,3,10,1,25,0.2,central,-15.32433457380825,0.36055812853301344,
1309,3,10,1315.0973708629608,0.0005,3,10,1,25,0.2,local,-21.213628062928844,7.27664208685384,7.228943143500319
1310,3,10,1315.0973708629608,0.0005,3,10,1,25,0.2,fl,-16.11671768267084,4.844159660611878,4.763137623244678
1312,0,10,1211.962883234024,0.0005,3,10,1,50,10.0,central,-15.20143698298681,0.3339401488589265,
1313,0,10,1211.962883234024,0.0005,3,10,1,50,10.0,local,-15.874298902904675,0.770566013270664,0.6836128759217067
1314,0,10,1211.962883234024,0.0005,3,10,1,50,10.0,fl,-15.435091862992413,0.5646245931953877,0.44790366993716085
1324,6,10,1272.3153665065765,0.0005,3,10,1,10,10.0,central,-15.557026809451425,0.556228720696678,
1325,6,10,1272.3153665065765,0.0005,3,10,1,10,10.0,local,-69.21977918111398,1.746520827406107,1.6557653722791614
1326,6,10,1272.3153665065765,0.0005,3,10,1,10,10.0,fl,-17.19912819223755,1.177342358687881,1.0430494556883256
1356,7,10,1356.8345289230347,0.0005,3,10,1,100,0.2,central,-15.225718500024863,0.19946086356889556,
1357,7,10,1356.8345289230347,0.0005,3,10,1,100,0.2,local,-15.689285100626694,9.00173155187731,9.005242925002122
1358,7,10,1356.8345289230347,0.0005,3,10,1,100,0.2,fl,-15.654551532073686,7.373143814703738,7.375228866571012
1364,7,10,1454.5016372203827,0.0005,3,10,1,50,0.2,central,-15.232978494022015,0.2131779268157903,
1365,7,10,1454.5016372203827,0.0005,3,10,1,50,0.2,local,-19.405989558226135,10.160215893716677,10.166477631513235
1366,7,10,1454.5016372203827,0.0005,3,10,1,50,0.2,fl,-15.762532419285524,7.605649333533701,7.601409215442908
1368,6,10,1293.6840989589691,0.0005,3,10,1,10,1.0,central,-15.424131853867033,0.5103291734092098,
1369,6,10,1293.6840989589691,0.0005,3,10,1,10,1.0,local,-69.48980183904912,6.520210826119327,6.506569684000074
1370,6,10,1293.6840989589691,0.0005,3,10,1,10,1.0,fl,-21.639965876334976,6.6369647576428035,6.694442794038854
1376,8,10,1349.6433537006378,0.0005,3,10,1,25,1.0,central,-15.414969173337145,0.3373519212155652,
1377,8,10,1349.6433537006378,0.0005,3,10,1,25,1.0,local,-25.24650093460489,2.699090437565978,2.665926391373716
1378,8,10,1349.6433537006378,0.0005,3,10,1,25,1.0,fl,-17.718470583343496,2.8054482266951126,2.8058732641611526
1388,1,10,1242.3133981227875,0.0005,3,10,1,10,0.2,central,-15.521879103908784,0.4846281812976249,
1389,1,10,1242.3133981227875,0.0005,3,10,1,10,0.2,local,-66.0634234370531,12.133573345145727,12.123827347637462
1390,1,10,1242.3133981227875,0.0005,3,10,1,10,0.2,fl,-22.689500645741155,11.224163497981568,11.241939691736402
1392,0,10,1325.328771352768,0.0005,3,10,1,50,1.0,central,-15.182663677294704,0.33173684246922147,
1393,0,10,1325.328771352768,0.0005,3,10,1,50,1.0,local,-16.662800148742072,1.9389429036483505,1.8722898306586813
1394,0,10,1325.328771352768,0.0005,3,10,1,50,1.0,fl,-15.883908509423014,2.0149488650992766,1.9174266913587972
1424,3,10,1332.1946280002594,0.0005,3,10,1,25,10.0,central,-15.352799792911023,0.4751564654610041,
1425,3,10,1332.1946280002594,0.0005,3,10,1,25,10.0,local,-17.712397208145497,1.1596512489219815,1.0451531275519539
1426,3,10,1332.1946280002594,0.0005,3,10,1,25,10.0,fl,-15.948481622192443,0.8222316434313889,0.6640286416492837
1428,0,10,1402.1752767562866,0.0005,3,10,1,100,1.0,central,-15.16371138362241,0.1962228605523844,
1429,0,10,1402.1752767562866,0.0005,3,10,1,100,1.0,local,-15.42696540809762,1.8895038279045544,1.8524392508362784
1430,0,10,1402.1752767562866,0.0005,3,10,1,100,1.0,fl,-15.983407198931848,3.7461696531343613,3.670293882801763
1432,2,10,1297.005206823349,0.0005,3,10,1,100,10.0,central,-15.310797297167127,0.2154721278703147,
1433,2,10,1297.005206823349,0.0005,3,10,1,100,10.0,local,-15.652812977030573,0.5503162419879841,0.5044728525233245
1434,2,10,1297.005206823349,0.0005,3,10,1,100,10.0,fl,-15.451222956245456,0.40810771874031937,0.3413432789430776
